,UT_Da_JN_PJ15_12,UT_Da_JN_PJ15_13,UT_Da_JN_PJ15_14,UT_Da_JN_PJ15_3,UT_Da_JN_PJ15_4,UT_Da_JN_PJ15_7,UT_Da_JN_PJ15_9,UT_Da_JN_PJ16_11,UT_Da_JN_PJ16_21,UT_Da_JN_PJ16_24,UT_Da_JN_PJ16_6
UT_Da_JN_PJ15_12,0,1.097925947,1.871802177,2.85263143,NA,2.378859792,3.258096538,2.503648196,NA,1.098420018,3.258096538
UT_Da_JN_PJ15_13,1.097925947,0,1.503391055,2.196538235,NA,NA,2.196538235,1.529101271,NA,1.135474004,3.988297705
UT_Da_JN_PJ15_14,1.871802177,1.503391055,0,1.648658626,NA,2.196538235,1.312186389,0.63184602,NA,2.545339001,3.258096538
UT_Da_JN_PJ15_3,2.85263143,2.196538235,1.648658626,0,NA,0.810243874,0.340325806,1.3249932,NA,2.833021073,0.517256514
UT_Da_JN_PJ15_4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
UT_Da_JN_PJ15_7,2.378859792,NA,2.196538235,0.810243874,NA,0,0.76942188,2.828384255,NA,3.968687348,0.656093194
UT_Da_JN_PJ15_9,3.258096538,2.196538235,1.312186389,0.340325806,NA,0.76942188,0,1.944032408,NA,3.238486181,0.773189888
UT_Da_JN_PJ16_11,2.503648196,1.529101271,0.63184602,1.3249932,NA,2.828384255,1.944032408,0,NA,2.771719912,1.587357465
UT_Da_JN_PJ16_21,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
UT_Da_JN_PJ16_24,1.098420018,1.135474004,2.545339001,2.833021073,NA,3.968687348,3.238486181,2.771719912,NA,0,NA
UT_Da_JN_PJ16_6,3.258096538,3.988297705,3.258096538,0.517256514,NA,0.656093194,0.773189888,1.587357465,NA,NA,0
UT_Da_JN_PJ16_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
