,CA_Tu_JR_PJ4_11,CA_Tu_JR_PJ4_12,CA_Tu_JR_PJ4_14,CA_Tu_JR_PJ4_15,CA_Tu_JR_PJ4_17,CA_Tu_JR_PJ4_5,CA_Tu_JR_PJ4_8,UT_Ca_JR_PJ3_10,UT_Ca_JR_PJ3_12,UT_Ca_JR_PJ3_18,UT_Ca_JR_PJ3_3,UT_Ca_JR_PJ3_8
CA_Tu_JR_PJ4_11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Tu_JR_PJ4_12,NA,0,NA,NA,NA,NA,0.877644895,1.463369701,1.011435595,NA,1.522261219,NA
CA_Tu_JR_PJ4_14,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Tu_JR_PJ4_15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Tu_JR_PJ4_17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Tu_JR_PJ4_5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Tu_JR_PJ4_8,NA,0.877644895,NA,NA,NA,NA,0,1.326662651,0.859461073,NA,0.859461073,NA
UT_Ca_JR_PJ3_10,NA,1.463369701,NA,NA,NA,NA,1.326662651,0,1.291035199,NA,1.222042328,NA
UT_Ca_JR_PJ3_12,NA,1.011435595,NA,NA,NA,NA,0.859461073,1.291035199,0,NA,0.300104592,NA
UT_Ca_JR_PJ3_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
UT_Ca_JR_PJ3_3,NA,1.522261219,NA,NA,NA,NA,0.859461073,1.222042328,0.300104592,NA,0,NA
UT_Ca_JR_PJ3_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
