,CA_Fr_JR_PJ61_11,CA_Fr_JR_PJ61_2,CA_Fr_JR_PJ61_4,CA_Fr_JR_PJ61_6,CA_Fr_JR_PJ61_8,CA_Fr_JR_PJ61_9,CA_Fr_JR_PJ62_1,CA_Fr_JR_PJ62_10,CA_Fr_JR_PJ62_2,CA_Fr_JR_PJ62_4,CA_Fr_JR_PJ62_7,CA_Fr_JR_PJ62_8
CA_Fr_JR_PJ61_11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1.713997787,1.250885228
CA_Fr_JR_PJ61_8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_10,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Fr_JR_PJ62_2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Fr_JR_PJ62_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Fr_JR_PJ62_7,NA,NA,NA,1.713997787,NA,NA,NA,NA,NA,NA,0,0.714426988
CA_Fr_JR_PJ62_8,NA,NA,NA,1.250885228,NA,NA,NA,NA,NA,NA,0.714426988,0
