,CA_SD_Jsp_PJ5_15,CA_SD_Jsp_PJ5_3,CA_SD_Jsp_PJ6_11,CA_SD_Jsp_PJ6_13,CA_SD_Jsp_PJ6_14,CA_SD_Jsp_PJ6_9,CA_SD_Jsp_PJ7_15,CA_SD_Jsp_PJ7_17,CA_SD_Jsp_PJ7_24,CA_SD_Jsp_PJ7_8,CA_SD_Jsp_PJ8_16,CA_SD_Jsp_PJ8_22
CA_SD_Jsp_PJ5_15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ6_11,NA,NA,0,1.00124025,NA,NA,NA,NA,NA,1.15904464,0.905981088,NA
CA_SD_Jsp_PJ6_13,NA,NA,1.00124025,0,NA,NA,NA,NA,NA,1.965312216,1.98418238,NA
CA_SD_Jsp_PJ6_14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ6_9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ7_15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ7_17,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_SD_Jsp_PJ7_24,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_SD_Jsp_PJ7_8,NA,NA,1.15904464,1.965312216,NA,NA,NA,NA,NA,0,0.879071429,NA
CA_SD_Jsp_PJ8_16,NA,NA,0.905981088,1.98418238,NA,NA,NA,NA,NA,0.879071429,0,NA
CA_SD_Jsp_PJ8_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
