,CA_Bu_JH_PJ29_2,CA_Bu_JH_PJ29_21,CA_Bu_JH_PJ29_5,CA_Bu_JH_PJ30_13,CA_Bu_JH_PJ30_14,CA_Bu_JH_PJ30_17,CA_Bu_JH_PJ30_18,CA_Bu_JH_PJ30_19,CA_Bu_JH_PJ30_22,CA_Bu_JH_PJ30_6,CA_Bu_JH_PJ30_8,CA_Bu_JH_PJ30_9
CA_Bu_JH_PJ29_2,0,NA,NA,NA,NA,NA,2.545339001,3.198464828,NA,1.966112856,2.525728644,NA
CA_Bu_JH_PJ29_21,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ30_13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ30_14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ30_17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ30_18,2.545339001,NA,NA,NA,NA,NA,0,0.866699927,NA,1.041261604,0.840590909,NA
CA_Bu_JH_PJ30_19,3.198464828,NA,NA,NA,NA,NA,0.866699927,0,NA,0.800569555,0.672736183,NA
CA_Bu_JH_PJ30_22,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Bu_JH_PJ30_6,1.966112856,NA,NA,NA,NA,NA,1.041261604,0.800569555,NA,0,0.967584026,NA
CA_Bu_JH_PJ30_8,2.525728644,NA,NA,NA,NA,NA,0.840590909,0.672736183,NA,0.967584026,0,NA
CA_Bu_JH_PJ30_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
