,CA_Lake_JH_PJ31_16,CA_Lake_JH_PJ31_18,CA_Lake_JH_PJ31_20,CA_Lake_JH_PJ31_21,CA_Lake_JH_PJ32_10,CA_Lake_JH_PJ32_19,CA_Lake_JH_PJ32_2,CA_Lake_JH_PJ32_20,CA_Lake_JH_PJ32_23,CA_Lake_JH_PJ32_3,CA_Lake_JH_PJ32_4,CA_Lake_JH_PJ32_6
CA_Lake_JH_PJ31_16,0,1.16315081,0.615385499,1.24022615,0.752038698,0.895879735,NA,0.980829253,1.16315081,0.671867373,0.496105324,1.119645121
CA_Lake_JH_PJ31_18,1.16315081,0,1.203172164,0.77022252,1.445185879,0.713558178,NA,0.980829253,1.037987667,1.284971846,1.157503806,0.831963049
CA_Lake_JH_PJ31_20,0.615385499,1.203172164,0,0.587100323,0.879071429,1.223583161,NA,0.775728149,1.426315715,0.945503578,0.306552236,0.977344918
CA_Lake_JH_PJ31_21,1.24022615,0.77022252,0.587100323,0,1.011435595,0.790633518,NA,0.690179813,1.463369701,1.287939214,0.749071331,1.13218194
CA_Lake_JH_PJ32_10,0.752038698,1.445185879,0.879071429,1.011435595,0,1.311446196,NA,1.532197256,1.157503806,1.136223999,1.155770703,1.807145299
CA_Lake_JH_PJ32_19,0.895879735,0.713558178,1.223583161,0.790633518,1.311446196,0,NA,1.493716735,1.252554679,1.305382843,1.117290182,0.903667341
CA_Lake_JH_PJ32_2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Lake_JH_PJ32_20,0.980829253,0.980829253,0.775728149,0.690179813,1.532197256,1.493716735,NA,0,1.673976434,0.959549446,0.671995991,0.831963049
CA_Lake_JH_PJ32_23,1.16315081,1.037987667,1.426315715,1.463369701,1.157503806,1.252554679,NA,1.673976434,0,1.077332481,1.445185879,1.262745965
CA_Lake_JH_PJ32_3,0.671867373,1.284971846,0.945503578,1.287939214,1.136223999,1.305382843,NA,0.959549446,1.077332481,0,0.773318506,1.241466158
CA_Lake_JH_PJ32_4,0.496105324,1.157503806,0.306552236,0.749071331,1.155770703,1.117290182,NA,0.671995991,1.445185879,0.773318506,0,0.795544387
CA_Lake_JH_PJ32_6,1.119645121,0.831963049,0.977344918,1.13218194,1.807145299,0.903667341,NA,0.831963049,1.262745965,1.241466158,0.795544387,0
