,CA_Yo_JC_PJ59_11,CA_Yo_JC_PJ59_2,CA_Yo_JC_PJ59_3,CA_Yo_JC_PJ59_4,CA_Yo_JC_PJ59_7,CA_Yo_JC_PJ59_9,CA_Yo_JC_PJ60_10,CA_Yo_JC_PJ60_3,CA_Yo_JC_PJ60_4,CA_Yo_JC_PJ60_5,CA_Yo_JC_PJ60_6,CA_Yo_JC_PJ60_7
CA_Yo_JC_PJ59_11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.852803489,0.93126427
CA_Yo_JC_PJ59_9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_10,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_3,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Yo_JC_PJ60_4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Yo_JC_PJ60_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Yo_JC_PJ60_6,NA,NA,NA,NA,0.852803489,NA,NA,NA,NA,NA,0,0.488745176
CA_Yo_JC_PJ60_7,NA,NA,NA,NA,0.93126427,NA,NA,NA,NA,NA,0.488745176,0
