,CA_GM16_1,CA_GM16_10,CA_GM16_11,CA_GM16_12,CA_GM16_2,CA_GM16_3,CA_GM16_4,CA_GM16_5,CA_GM16_6,CA_GM16_7,CA_GM16_8,CA_GM16_9
CA_GM16_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM16_10,NA,0,0.133531392624523,NA,0.693147180559945,0.133531392624523,1.67397643357167,0.133531392624523,1.38629436111989,2.07944154167984,1.16315080980568,0.374693449441411
CA_GM16_11,NA,0.133531392624523,0,NA,0.693147180559945,0.287682072451781,1.67397643357167,0.287682072451781,1.38629436111989,2.07944154167984,1.16315080980568,0.374693449441411
CA_GM16_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM16_2,NA,0.693147180559945,0.693147180559945,NA,0,0.826678573184468,1.38629436111989,0.826678573184468,1.16315080980568,1.38629436111989,1.16315080980568,0.980829253011726
CA_GM16_3,NA,0.133531392624523,0.287682072451781,NA,0.826678573184468,0,2.07944154167984,0.133531392624523,1.16315080980568,2.07944154167984,1.16315080980568,0.374693449441411
CA_GM16_4,NA,1.67397643357167,1.67397643357167,NA,1.38629436111989,2.07944154167984,0,2.07944154167984,2.77258872223978,NA,2.77258872223978,2.07944154167984
CA_GM16_5,NA,0.133531392624523,0.287682072451781,NA,0.826678573184468,0.133531392624523,2.07944154167984,0,1.38629436111989,2.07944154167984,0.980829253011726,0.207639364778244
CA_GM16_6,NA,1.38629436111989,1.38629436111989,NA,1.16315080980568,1.16315080980568,2.77258872223978,1.38629436111989,0,1.67397643357167,2.07944154167984,0.980829253011726
CA_GM16_7,NA,2.07944154167984,2.07944154167984,NA,1.38629436111989,2.07944154167984,NA,2.07944154167984,1.67397643357167,0,1.16315080980568,2.07944154167984
CA_GM16_8,NA,1.16315080980568,1.16315080980568,NA,1.16315080980568,1.16315080980568,2.77258872223978,0.980829253011726,2.07944154167984,1.16315080980568,0,0.826678573184468
CA_GM16_9,NA,0.374693449441411,0.374693449441411,NA,0.980829253011726,0.374693449441411,2.07944154167984,0.207639364778244,0.980829253011726,2.07944154167984,0.826678573184468,0
