,CA_Sol_Jci_PJ47_17,CA_Sol_Jci_PJ47_21,CA_Sol_Jci_PJ47_23,CA_Sol_Jci_PJ47_24,CA_Sol_Jci_PJ47_6,CA_Sol_Jci_PJ47_7,CA_Sol_Jci_PJ47_9,CA_Sol_Jci_PJ48_14,CA_Sol_Jci_PJ48_16,CA_Sol_Jci_PJ48_18,CA_Sol_Jci_PJ48_2,CA_Sol_Jci_PJ48_7
CA_Sol_Jci_PJ47_17,0,0.84708957,0.780158558,NA,2.56198199,NA,NA,NA,1.077332481,NA,NA,NA
CA_Sol_Jci_PJ47_21,0.84708957,0,1.326662651,NA,1.570792075,NA,NA,NA,0.436344996,NA,NA,NA
CA_Sol_Jci_PJ47_23,0.780158558,1.326662651,0,NA,1.175687629,NA,NA,NA,2.240483291,NA,NA,NA
CA_Sol_Jci_PJ47_24,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jci_PJ47_6,2.56198199,1.570792075,1.175687629,NA,0,NA,NA,NA,1.729771966,NA,NA,NA
CA_Sol_Jci_PJ47_7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Sol_Jci_PJ47_9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Sol_Jci_PJ48_14,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Sol_Jci_PJ48_16,1.077332481,0.436344996,2.240483291,NA,1.729771966,NA,NA,NA,0,NA,NA,NA
CA_Sol_Jci_PJ48_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Sol_Jci_PJ48_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_Sol_Jci_PJ48_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
