,CA_Sol_JA_PJ27_11,CA_Sol_JA_PJ27_15,CA_Sol_JA_PJ27_23,CA_Sol_JA_PJ27_4,CA_Sol_JA_PJ27_5,CA_Sol_JA_PJ28_1,CA_Sol_JA_PJ28_11,CA_Sol_JA_PJ28_12,CA_Sol_JA_PJ28_22,CA_Sol_JA_PJ28_23,CA_Sol_JA_PJ28_7,CA_Sol_JA_PJ28_8
CA_Sol_JA_PJ27_11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JA_PJ27_15,NA,0,NA,NA,NA,2.602689685,NA,NA,NA,NA,3.276966702,NA
CA_Sol_JA_PJ27_23,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JA_PJ27_4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JA_PJ27_5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JA_PJ28_1,NA,2.602689685,NA,NA,NA,0,NA,NA,NA,NA,0.712017345,NA
CA_Sol_JA_PJ28_11,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Sol_JA_PJ28_12,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Sol_JA_PJ28_22,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Sol_JA_PJ28_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Sol_JA_PJ28_7,NA,3.276966702,NA,NA,NA,0.712017345,NA,NA,NA,NA,0,NA
CA_Sol_JA_PJ28_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
