,CA_Sol_Jmo_PJ25_12,CA_Sol_Jmo_PJ25_16,CA_Sol_Jmo_PJ25_18,CA_Sol_Jmo_PJ25_2,CA_Sol_Jmo_PJ25_21,CA_Sol_Jmo_PJ25_22,CA_Sol_Jmo_PJ26_15,CA_Sol_Jmo_PJ26_16,CA_Sol_Jmo_PJ26_20,CA_Sol_Jmo_PJ26_23,CA_Sol_Jmo_PJ26_4,CA_Sol_Jmo_PJ26_6
CA_Sol_Jmo_PJ25_12,0,0.446287103,NA,0.405272837,NA,0.635796496,NA,NA,1.058398664,NA,1.305382843,NA
CA_Sol_Jmo_PJ25_16,0.446287103,0,NA,0.796139146,NA,1.041261604,NA,NA,1.326662651,NA,1.162282,NA
CA_Sol_Jmo_PJ25_18,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ25_2,0.405272837,0.796139146,NA,0,NA,0.583947889,NA,NA,1.138633643,NA,1.250885228,NA
CA_Sol_Jmo_PJ25_21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ25_22,0.635796496,1.041261604,NA,0.583947889,NA,0,NA,NA,0.653125827,NA,0.945503578,NA
CA_Sol_Jmo_PJ26_15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Sol_Jmo_PJ26_20,1.058398664,1.326662651,NA,1.138633643,NA,0.653125827,NA,NA,0,NA,1.365014554,NA
CA_Sol_Jmo_PJ26_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Sol_Jmo_PJ26_4,1.305382843,1.162282,NA,1.250885228,NA,0.945503578,NA,NA,1.365014554,NA,0,NA
CA_Sol_Jmo_PJ26_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
