,CA_Sh_JH_PJ35_11,CA_Sh_JH_PJ35_16,CA_Sh_JH_PJ35_18,CA_Sh_JH_PJ35_19,CA_Sh_JH_PJ35_6,CA_Sh_JH_PJ35_7,CA_Sh_JH_PJ36_12,CA_Sh_JH_PJ36_14,CA_Sh_JH_PJ36_2,CA_Sh_JH_PJ36_24,CA_Sh_JH_PJ36_7,CA_Sh_JH_PJ36_8
CA_Sh_JH_PJ35_11,0,1.234579146,1.685712612,0.992565431,2.042387556,0.711331003,NA,NA,NA,1.645691258,1.825329121,NA
CA_Sh_JH_PJ35_16,1.234579146,0,1.19752516,1.136900539,1.485207233,1.098612289,NA,NA,NA,0.934360255,1.178536639,NA
CA_Sh_JH_PJ35_18,1.685712612,1.19752516,0,2.85263143,0.906721281,1.772889305,NA,NA,NA,1.965312216,1.095127954,NA
CA_Sh_JH_PJ35_19,0.992565431,1.136900539,2.85263143,0,2.159484249,0.568916501,NA,NA,NA,1.203172164,1.921806527,NA
CA_Sh_JH_PJ35_6,2.042387556,1.485207233,0.906721281,2.159484249,0,1.079742125,NA,NA,NA,1.020850607,1.228659347,NA
CA_Sh_JH_PJ35_7,0.711331003,1.098612289,1.772889305,0.568916501,1.079742125,0,NA,NA,NA,0.934360255,1.321637483,NA
CA_Sh_JH_PJ36_12,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Sh_JH_PJ36_14,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Sh_JH_PJ36_2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Sh_JH_PJ36_24,1.645691258,0.934360255,1.965312216,1.203172164,1.020850607,0.934360255,NA,NA,NA,0,0.692201106,NA
CA_Sh_JH_PJ36_7,1.825329121,1.178536639,1.095127954,1.921806527,1.228659347,1.321637483,NA,NA,NA,0.692201106,0,NA
CA_Sh_JH_PJ36_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
