,CA_GM22_10a,CA_GM22_10b,CA_GM22_10c,CA_GM22_11,CA_GM22_12,CA_GM22_14,CA_GM22_1a,CA_GM22_1b,CA_GM22_1c,CA_GM22_1d,CA_GM22_2,CA_GM22_4,CA_GM22_5,CA_GM22_7,CA_GM22_8a,CA_GM22_8b,CA_GM22_8c,CA_GM22_8d,CA_GM22_8e,CA_GM22_9
CA_GM22_10a,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM22_10b,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM22_10c,NA,NA,0,0.826678573184468,0.980829253011726,1.16315080980568,0.980829253011726,0.693147180559945,0.980829253011726,NA,NA,0.575364144903562,0.826678573184468,0.826678573184468,0.693147180559945,0.693147180559945,0.693147180559945,0.980829253011726,1.16315080980568,2.77258872223978
CA_GM22_11,NA,NA,0.826678573184468,0,1.16315080980568,0.693147180559945,0.133531392624523,0.0645385211375712,0.287682072451781,NA,NA,0.207639364778244,0.980829253011726,0.0645385211375712,0.287682072451781,0.287682072451781,0.287682072451781,0.374693449441411,0.287682072451781,2.77258872223978
CA_GM22_12,NA,NA,0.980829253011726,1.16315080980568,0,0.980829253011726,1.38629436111989,0.980829253011726,1.16315080980568,NA,NA,1.16315080980568,1.16315080980568,1.16315080980568,1.16315080980568,1.16315080980568,1.16315080980568,0.980829253011726,1.16315080980568,2.07944154167984
CA_GM22_14,NA,NA,1.16315080980568,0.693147180559945,0.980829253011726,0,0.826678573184468,0.826678573184468,0.575364144903562,NA,NA,1.16315080980568,1.16315080980568,0.575364144903562,0.980829253011726,1.16315080980568,1.16315080980568,0.693147180559945,0.575364144903562,1.67397643357167
CA_GM22_1a,NA,NA,0.980829253011726,0.133531392624523,1.38629436111989,0.826678573184468,0,0.207639364778244,0.470003629245736,NA,NA,0.374693449441411,0.826678573184468,0.207639364778244,0.287682072451781,0.133531392624523,0.133531392624523,0.374693449441411,0.470003629245736,2.77258872223978
CA_GM22_1b,NA,NA,0.693147180559945,0.0645385211375712,0.980829253011726,0.826678573184468,0.207639364778244,0,0.374693449441411,NA,NA,0.133531392624523,0.980829253011726,0.133531392624523,0.207639364778244,0.207639364778244,0.207639364778244,0.287682072451781,0.374693449441411,2.77258872223978
CA_GM22_1c,NA,NA,0.980829253011726,0.287682072451781,1.16315080980568,0.575364144903562,0.470003629245736,0.374693449441411,0,NA,NA,0.470003629245736,0.980829253011726,0.207639364778244,0.470003629245736,0.693147180559945,0.693147180559945,0.207639364778244,0.133531392624523,2.77258872223978
CA_GM22_1d,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM22_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM22_4,NA,NA,0.575364144903562,0.207639364778244,1.16315080980568,1.16315080980568,0.374693449441411,0.133531392624523,0.470003629245736,NA,NA,0,0.826678573184468,0.287682072451781,0.207639364778244,0.207639364778244,0.207639364778244,0.470003629245736,0.575364144903562,2.77258872223978
CA_GM22_5,NA,NA,0.826678573184468,0.980829253011726,1.16315080980568,1.16315080980568,0.826678573184468,0.980829253011726,0.980829253011726,NA,NA,0.826678573184468,0,0.980829253011726,0.693147180559945,0.693147180559945,0.693147180559945,0.980829253011726,1.38629436111989,2.07944154167984
CA_GM22_7,NA,NA,0.826678573184468,0.0645385211375712,1.16315080980568,0.575364144903562,0.207639364778244,0.133531392624523,0.207639364778244,NA,NA,0.287682072451781,0.980829253011726,0,0.207639364778244,0.374693449441411,0.374693449441411,0.287682072451781,0.207639364778244,2.77258872223978
CA_GM22_8a,NA,NA,0.693147180559945,0.287682072451781,1.16315080980568,0.980829253011726,0.287682072451781,0.207639364778244,0.470003629245736,NA,NA,0.207639364778244,0.693147180559945,0.207639364778244,0,0.133531392624523,0.133531392624523,0.207639364778244,0.470003629245736,2.77258872223978
CA_GM22_8b,NA,NA,0.693147180559945,0.287682072451781,1.16315080980568,1.16315080980568,0.133531392624523,0.207639364778244,0.693147180559945,NA,NA,0.207639364778244,0.693147180559945,0.374693449441411,0.133531392624523,0,0,0.374693449441411,0.693147180559945,2.77258872223978
CA_GM22_8c,NA,NA,0.693147180559945,0.287682072451781,1.16315080980568,1.16315080980568,0.133531392624523,0.207639364778244,0.693147180559945,NA,NA,0.207639364778244,0.693147180559945,0.374693449441411,0.133531392624523,0,0,0.374693449441411,0.693147180559945,2.77258872223978
CA_GM22_8d,NA,NA,0.980829253011726,0.374693449441411,0.980829253011726,0.693147180559945,0.374693449441411,0.287682072451781,0.207639364778244,NA,NA,0.470003629245736,0.980829253011726,0.287682072451781,0.207639364778244,0.374693449441411,0.374693449441411,0,0.207639364778244,2.77258872223978
CA_GM22_8e,NA,NA,1.16315080980568,0.287682072451781,1.16315080980568,0.575364144903562,0.470003629245736,0.374693449441411,0.133531392624523,NA,NA,0.575364144903562,1.38629436111989,0.207639364778244,0.470003629245736,0.693147180559945,0.693147180559945,0.207639364778244,0,2.77258872223978
CA_GM22_9,NA,NA,2.77258872223978,2.77258872223978,2.07944154167984,1.67397643357167,2.77258872223978,2.77258872223978,2.77258872223978,NA,NA,2.77258872223978,2.07944154167984,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,0
