,CA_Gl_JH_PJ37_1,CA_Gl_JH_PJ37_12,CA_Gl_JH_PJ37_19,CA_Gl_JH_PJ37_6,CA_Gl_JH_PJ38_1,CA_Gl_JH_PJ38_12,CA_Gl_JH_PJ38_13,CA_Gl_JH_PJ38_14,CA_Gl_JH_PJ38_16,CA_Gl_JH_PJ38_18,CA_Gl_JH_PJ38_20,CA_Gl_JH_PJ38_9
CA_Gl_JH_PJ37_1,0,0.712017345,1.079742125,1.222042328,1.178536639,1.177914804,1.349926717,0.913080448,0.905981088,1.465596876,0.711216704,1.850650987
CA_Gl_JH_PJ37_12,0.712017345,0,0.517256514,1.078009021,1.565131583,1.446726712,1.772889305,1.3249932,1.533738089,1.629048269,0.966783386,1.831780823
CA_Gl_JH_PJ37_19,1.079742125,0.517256514,0,0.915490091,1.921806527,2.139873893,3.276966702,1.405035908,1.734408785,2.32219545,1.426315715,2.301784452
CA_Gl_JH_PJ37_6,1.222042328,1.078009021,0.915490091,0,1.525110229,1.406705358,1.627507436,1.365014554,1.119023286,2.282174096,1.386294361,1.568615918
CA_Gl_JH_PJ38_1,1.178536639,1.565131583,1.921806527,1.525110229,0,0.382370417,0.890854567,0.670921299,0.957734562,2.05634685,1.188637993,0.831963049
CA_Gl_JH_PJ38_12,1.177914804,1.446726712,2.139873893,1.406705358,0.382370417,0,0.549306144,0.574495335,0.653926467,NA,0.895879735,0.713558178
CA_Gl_JH_PJ38_13,1.349926717,1.772889305,3.276966702,1.627507436,0.890854567,0.549306144,0,0.650716184,0.618299016,1.552608253,1.157503806,0.885570091
CA_Gl_JH_PJ38_14,0.913080448,1.3249932,1.405035908,1.365014554,0.670921299,0.574495335,0.650716184,0,0.469134819,3.17718502,0.75887875,1.01670786
CA_Gl_JH_PJ38_16,0.905981088,1.533738089,1.734408785,1.119023286,0.957734562,0.653926467,0.618299016,0.469134819,0,2.525728644,0.800569555,1.119023286
CA_Gl_JH_PJ38_18,1.465596876,1.629048269,2.32219545,2.282174096,2.05634685,NA,1.552608253,3.17718502,2.525728644,0,2.282174096,1.493716735
CA_Gl_JH_PJ38_20,0.711216704,0.966783386,1.426315715,1.386294361,1.188637993,0.895879735,1.157503806,0.75887875,0.800569555,2.282174096,0,1.568615918
CA_Gl_JH_PJ38_9,1.850650987,1.831780823,2.301784452,1.568615918,0.831963049,0.713558178,0.885570091,1.01670786,1.119023286,1.493716735,1.568615918,0
