,CA_ED_JH_PJ65_10,CA_ED_JH_PJ65_11,CA_ED_JH_PJ65_12,CA_ED_JH_PJ65_2,CA_ED_JH_PJ65_3,CA_ED_JH_PJ65_4,CA_ED_JH_PJ66_10,CA_ED_JH_PJ66_11,CA_ED_JH_PJ66_2,CA_ED_JH_PJ66_3,CA_ED_JH_PJ66_7,CA_ED_JH_PJ66_8
CA_ED_JH_PJ65_10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ66_10,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.820179911
CA_ED_JH_PJ66_11,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_ED_JH_PJ66_2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_ED_JH_PJ66_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_ED_JH_PJ66_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_ED_JH_PJ66_8,NA,NA,NA,NA,NA,NA,0.820179911,NA,NA,NA,NA,0
