,CA_ED_JN_PJ13_1,CA_ED_JN_PJ13_11,CA_ED_JN_PJ13_12,CA_ED_JN_PJ13_15,CA_ED_JN_PJ13_22,CA_ED_JN_PJ13_5,CA_ED_JN_PJ14_1,CA_ED_JN_PJ14_16,CA_ED_JN_PJ14_17,CA_ED_JN_PJ14_21,CA_ED_JN_PJ14_22,CA_ED_JN_PJ14_8
CA_ED_JN_PJ13_1,0,NA,0.798900104,1.405035908,NA,0.715373062,0.474211005,1.711588144,1.036624786,1.385425551,NA,NA
CA_ED_JN_PJ13_11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JN_PJ13_12,0.798900104,NA,0,3.258096538,NA,1.095127954,0.73222246,1.57221861,1.503391055,1.446726712,NA,NA
CA_ED_JN_PJ13_15,1.405035908,NA,3.258096538,0,NA,1.382810026,1.921806527,NA,2.602003344,2.139873893,NA,NA
CA_ED_JN_PJ13_22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_ED_JN_PJ13_5,0.715373062,NA,1.095127954,1.382810026,NA,0,0.648695418,1.488691567,1.602185569,1.650881742,NA,NA
CA_ED_JN_PJ14_1,0.474211005,NA,0.73222246,1.921806527,NA,0.648695418,0,2.277148928,1.419864013,1.450211047,NA,NA
CA_ED_JN_PJ14_16,1.711588144,NA,1.57221861,NA,NA,1.488691567,2.277148928,0,0.749071331,0.618299016,NA,NA
CA_ED_JN_PJ14_17,1.036624786,NA,1.503391055,2.602003344,NA,1.602185569,1.419864013,0.749071331,0,0.877644895,NA,NA
CA_ED_JN_PJ14_21,1.385425551,NA,1.446726712,2.139873893,NA,1.650881742,1.450211047,0.618299016,0.877644895,0,NA,NA
CA_ED_JN_PJ14_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_ED_JN_PJ14_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
