,CA_GM32_1,CA_GM32_10,CA_GM32_11,CA_GM32_12,CA_GM32_13,CA_GM32_14,CA_GM32_15,CA_GM32_16,CA_GM32_17,CA_GM32_18,CA_GM32_19,CA_GM32_2,CA_GM32_20,CA_GM32_21,CA_GM32_22,CA_GM32_25,CA_GM32_3,CA_GM32_4,CA_GM32_5,CA_GM32_6,CA_GM32_7,CA_GM32_8,CA_GM32_9
CA_GM32_1,0,0.575364144903562,2.07944154167984,1.16315080980568,1.38629436111989,NA,2.77258872223978,NA,1.67397643357167,1.38629436111989,NA,1.16315080980568,2.77258872223978,2.77258872223978,1.16315080980568,0.980829253011726,1.38629436111989,1.38629436111989,1.16315080980568,2.07944154167984,1.67397643357167,1.16315080980568,0.826678573184468
CA_GM32_10,0.575364144903562,0,NA,1.67397643357167,1.67397643357167,NA,2.77258872223978,NA,2.07944154167984,1.67397643357167,NA,2.77258872223978,1.67397643357167,NA,0.980829253011726,1.16315080980568,1.67397643357167,1.38629436111989,1.67397643357167,1.67397643357167,2.07944154167984,1.38629436111989,1.16315080980568
CA_GM32_11,2.07944154167984,NA,0,2.07944154167984,2.77258872223978,NA,2.77258872223978,NA,NA,2.77258872223978,NA,2.07944154167984,1.67397643357167,0.826678573184468,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,2.77258872223978,2.07944154167984,2.77258872223978,2.77258872223978,2.77258872223978
CA_GM32_12,1.16315080980568,1.67397643357167,2.07944154167984,0,0.575364144903562,NA,2.07944154167984,NA,0.826678573184468,0.826678573184468,NA,0.826678573184468,2.07944154167984,2.07944154167984,0.826678573184468,1.38629436111989,0.980829253011726,2.07944154167984,1.38629436111989,1.67397643357167,1.38629436111989,1.67397643357167,1.67397643357167
CA_GM32_13,1.38629436111989,1.67397643357167,2.77258872223978,0.575364144903562,0,NA,1.38629436111989,NA,1.16315080980568,0.826678573184468,NA,1.16315080980568,1.67397643357167,2.77258872223978,1.16315080980568,0.980829253011726,1.67397643357167,1.38629436111989,1.67397643357167,1.67397643357167,2.07944154167984,1.67397643357167,1.67397643357167
CA_GM32_14,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM32_15,2.77258872223978,2.77258872223978,2.77258872223978,2.07944154167984,1.38629436111989,NA,0,NA,0.980829253011726,1.67397643357167,NA,NA,1.38629436111989,2.77258872223978,2.07944154167984,1.38629436111989,2.07944154167984,2.77258872223978,2.07944154167984,2.07944154167984,2.77258872223978,NA,NA
CA_GM32_16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM32_17,1.67397643357167,2.07944154167984,NA,0.826678573184468,1.16315080980568,NA,0.980829253011726,NA,0,0.980829253011726,NA,1.38629436111989,1.38629436111989,NA,1.16315080980568,1.67397643357167,1.67397643357167,2.07944154167984,1.38629436111989,1.67397643357167,1.38629436111989,1.67397643357167,1.67397643357167
CA_GM32_18,1.38629436111989,1.67397643357167,2.77258872223978,0.826678573184468,0.826678573184468,NA,1.67397643357167,NA,0.980829253011726,0,NA,1.38629436111989,1.38629436111989,2.07944154167984,1.67397643357167,1.16315080980568,1.38629436111989,2.07944154167984,2.07944154167984,2.07944154167984,1.38629436111989,2.07944154167984,2.07944154167984
CA_GM32_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_GM32_2,1.16315080980568,2.77258872223978,2.07944154167984,0.826678573184468,1.16315080980568,NA,NA,NA,1.38629436111989,1.38629436111989,NA,0,2.77258872223978,2.77258872223978,1.67397643357167,2.07944154167984,0.826678573184468,1.16315080980568,0.826678573184468,0.826678573184468,0.693147180559945,1.16315080980568,1.16315080980568
CA_GM32_20,2.77258872223978,1.67397643357167,1.67397643357167,2.07944154167984,1.67397643357167,NA,1.38629436111989,NA,1.38629436111989,1.38629436111989,NA,2.77258872223978,0,1.67397643357167,1.67397643357167,1.38629436111989,2.77258872223978,2.07944154167984,2.77258872223978,2.07944154167984,2.07944154167984,2.07944154167984,2.07944154167984
CA_GM32_21,2.77258872223978,NA,0.826678573184468,2.07944154167984,2.77258872223978,NA,2.77258872223978,NA,NA,2.07944154167984,NA,2.77258872223978,1.67397643357167,0,2.77258872223978,2.07944154167984,2.77258872223978,NA,NA,NA,NA,NA,NA
CA_GM32_22,1.16315080980568,0.980829253011726,2.77258872223978,0.826678573184468,1.16315080980568,NA,2.07944154167984,NA,1.16315080980568,1.67397643357167,NA,1.67397643357167,1.67397643357167,2.77258872223978,0,1.38629436111989,1.67397643357167,1.38629436111989,1.16315080980568,1.67397643357167,1.67397643357167,1.16315080980568,1.16315080980568
CA_GM32_25,0.980829253011726,1.16315080980568,2.77258872223978,1.38629436111989,0.980829253011726,NA,1.38629436111989,NA,1.67397643357167,1.16315080980568,NA,2.07944154167984,1.38629436111989,2.07944154167984,1.38629436111989,0,1.67397643357167,2.77258872223978,2.77258872223978,2.07944154167984,2.77258872223978,2.77258872223978,2.77258872223978
CA_GM32_3,1.38629436111989,1.67397643357167,2.77258872223978,0.980829253011726,1.67397643357167,NA,2.07944154167984,NA,1.67397643357167,1.38629436111989,NA,0.826678573184468,2.77258872223978,2.77258872223978,1.67397643357167,1.67397643357167,0,1.16315080980568,0.980829253011726,0.693147180559945,0.980829253011726,1.67397643357167,1.67397643357167
CA_GM32_4,1.38629436111989,1.38629436111989,2.77258872223978,2.07944154167984,1.38629436111989,NA,2.77258872223978,NA,2.07944154167984,2.07944154167984,NA,1.16315080980568,2.07944154167984,NA,1.38629436111989,2.77258872223978,1.16315080980568,0,0.693147180559945,0.693147180559945,1.38629436111989,0.207639364778244,0.374693449441411
