,CA_Hu_JHxJN_PJ43_10,CA_Hu_JHxJN_PJ43_16,CA_Hu_JHxJN_PJ43_23,CA_Hu_JHxJN_PJ43_3,CA_Hu_JHxJN_PJ43_9,CA_Hu_JHxJN_PJ44_13,CA_Hu_JHxJN_PJ44_14,CA_Hu_JHxJN_PJ44_2,CA_Hu_JHxJN_PJ44_22,CA_Hu_JHxJN_PJ44_24,CA_Hu_JHxJN_PJ44_7,CA_Hu_JHxJN_PJ44_8
CA_Hu_JHxJN_PJ43_10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Hu_JHxJN_PJ43_16,NA,0,0.605970487,0.829114038,0.432949643,0.730201167,1.945910149,NA,0.903753913,0.396249956,NA,0.480807344
CA_Hu_JHxJN_PJ43_23,NA,0.605970487,0,0.810930216,0.35919597,0.792060052,1.368110539,2.83148024,0.266530883,0.405465108,NA,0.405465108
CA_Hu_JHxJN_PJ43_3,NA,0.829114038,0.810930216,0,0.568916501,1.19752516,2.397729956,1.98418238,0.98565355,1.044545067,NA,1.044545067
CA_Hu_JHxJN_PJ43_9,NA,0.432949643,0.35919597,0.568916501,0,1.312186389,2.602003344,2.119462896,0.38486184,0.602818053,NA,0.792060052
CA_Hu_JHxJN_PJ44_13,NA,0.730201167,0.792060052,1.19752516,1.312186389,0,1.423348347,NA,0.966783386,0.536126678,NA,0.35919597
CA_Hu_JHxJN_PJ44_14,NA,1.945910149,1.368110539,2.397729956,2.602003344,1.423348347,0,0.812782135,1.751051773,2.215408399,NA,1.704582776
CA_Hu_JHxJN_PJ44_2,NA,NA,2.83148024,1.98418238,2.119462896,NA,0.812782135,0,1.925290862,3.236945348,NA,3.236945348
CA_Hu_JHxJN_PJ44_22,NA,0.903753913,0.266530883,0.98565355,0.38486184,0.966783386,1.751051773,1.925290862,0,0.597888019,NA,0.634255663
CA_Hu_JHxJN_PJ44_24,NA,0.396249956,0.405465108,1.044545067,0.602818053,0.536126678,2.215408399,3.236945348,0.597888019,0,NA,0.182321557
CA_Hu_JHxJN_PJ44_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_Hu_JHxJN_PJ44_8,NA,0.480807344,0.405465108,1.044545067,0.792060052,0.35919597,1.704582776,3.236945348,0.634255663,0.182321557,NA,0
