,CA_Te_JH_PJ71_12,CA_Te_JH_PJ71_2,CA_Te_JH_PJ71_3,CA_Te_JH_PJ71_6,CA_Te_JH_PJ71_7,CA_Te_JH_PJ71_9,CA_Te_JH_PJ72_11,CA_Te_JH_PJ72_4,CA_Te_JH_PJ72_6,CA_Te_JH_PJ72_7,CA_Te_JH_PJ72_8,CA_Te_JH_PJ72_9
CA_Te_JH_PJ71_12,0,0.38486184,NA,1.645691258,NA,0.820179911,0.775728149,1.694387431,NA,NA,1.326662651,1.222042328
CA_Te_JH_PJ71_2,0.38486184,0,NA,1.685712612,NA,1.312186389,0.550046337,1.366684005,NA,NA,1.292576032,1.025674903
CA_Te_JH_PJ71_3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ71_6,1.645691258,1.685712612,NA,0,NA,1.215708982,1.503391055,1.135474004,NA,NA,1.07831559,1.809943291
CA_Te_JH_PJ71_7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ71_9,0.820179911,1.312186389,NA,1.215708982,NA,0,0.906721281,1.223583161,NA,NA,1.366684005,1.19752516
CA_Te_JH_PJ72_11,0.775728149,0.550046337,NA,1.503391055,NA,0.906721281,0,0.840590909,NA,NA,0.887110924,1.136900539
CA_Te_JH_PJ72_4,1.694387431,1.366684005,NA,1.135474004,NA,1.223583161,0.840590909,0,NA,NA,1.347073648,1.177914804
CA_Te_JH_PJ72_6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Te_JH_PJ72_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Te_JH_PJ72_8,1.326662651,1.292576032,NA,1.07831559,NA,1.366684005,0.887110924,1.347073648,NA,NA,0,0.731627701
CA_Te_JH_PJ72_9,1.222042328,1.025674903,NA,1.809943291,NA,1.19752516,1.136900539,1.177914804,NA,NA,0.731627701,0
