,CA_ED_JHxJR_PJ55_10,CA_ED_JHxJR_PJ55_11,CA_ED_JHxJR_PJ55_3,CA_ED_JHxJR_PJ55_7,CA_ED_JHxJR_PJ55_8,CA_ED_JHxJR_PJ55_9,CA_ED_JHxJR_PJ56_1,CA_ED_JHxJR_PJ56_12,CA_ED_JHxJR_PJ56_3,CA_ED_JHxJR_PJ56_4,CA_ED_JHxJR_PJ56_7,CA_ED_JHxJR_PJ56_9
CA_ED_JHxJR_PJ55_10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JHxJR_PJ55_11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JHxJR_PJ55_3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JHxJR_PJ55_7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JHxJR_PJ55_8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_ED_JHxJR_PJ55_9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_ED_JHxJR_PJ56_1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_ED_JHxJR_PJ56_12,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_ED_JHxJR_PJ56_3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_ED_JHxJR_PJ56_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.57187981,NA
CA_ED_JHxJR_PJ56_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57187981,0,NA
CA_ED_JHxJR_PJ56_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
