,NM_GM42_10,NM_GM42_11,NM_GM42_12,NM_GM42_13,NM_GM42_16,NM_GM42_17,NM_GM42_18,NM_GM42_20,NM_GM42_21,NM_GM42_22,NM_GM42_23,NM_GM42_24,NM_GM42_25,NM_GM42_26,NM_GM42_28,NM_GM42_3,NM_GM42_4,NM_GM42_5,NM_GM42_8,NM_GM42_9
NM_GM42_10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM_GM42_11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM_GM42_12,NA,NA,0,0.980829253011726,NA,0.826678573184468,NA,1.38629436111989,NA,1.67397643357167,1.67397643357167,1.67397643357167,NA,1.67397643357167,1.67397643357167,0.826678573184468,NA,0.287682072451781,1.16315080980568,NA
NM_GM42_13,NA,NA,0.980829253011726,0,NA,0.133531392624523,NA,0.575364144903562,NA,0.693147180559945,0.980829253011726,0.980829253011726,NA,0.826678573184468,0.826678573184468,0.575364144903562,NA,0.826678573184468,1.38629436111989,NA
NM_GM42_16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM_GM42_17,NA,NA,0.826678573184468,0.133531392624523,NA,0,NA,0.575364144903562,NA,0.575364144903562,0.826678573184468,0.826678573184468,NA,0.826678573184468,0.693147180559945,0.470003629245736,NA,0.980829253011726,1.38629436111989,NA
NM_GM42_18,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM_GM42_20,NA,NA,1.38629436111989,0.575364144903562,NA,0.575364144903562,NA,0,NA,0.826678573184468,0.980829253011726,0.980829253011726,NA,0.980829253011726,0.575364144903562,1.16315080980568,NA,0.826678573184468,0.693147180559945,NA
NM_GM42_21,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM_GM42_22,NA,NA,1.67397643357167,0.693147180559945,NA,0.575364144903562,NA,0.826678573184468,NA,0,0.133531392624523,0.133531392624523,NA,0.374693449441411,0.287682072451781,0.980829253011726,NA,1.38629436111989,1.38629436111989,NA
NM_GM42_23,NA,NA,1.67397643357167,0.980829253011726,NA,0.826678573184468,NA,0.980829253011726,NA,0.133531392624523,0,0,NA,0.207639364778244,0.470003629245736,1.16315080980568,NA,1.38629436111989,1.67397643357167,NA
NM_GM42_24,NA,NA,1.67397643357167,0.980829253011726,NA,0.826678573184468,NA,0.980829253011726,NA,0.133531392624523,0,0,NA,0.207639364778244,0.470003629245736,1.16315080980568,NA,1.38629436111989,1.67397643357167,NA
NM_GM42_25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
NM_GM42_26,NA,NA,1.67397643357167,0.826678573184468,NA,0.826678573184468,NA,0.980829253011726,NA,0.374693449441411,0.207639364778244,0.207639364778244,NA,0,0.470003629245736,1.16315080980568,NA,1.38629436111989,2.07944154167984,NA
NM_GM42_28,NA,NA,1.67397643357167,0.826678573184468,NA,0.693147180559945,NA,0.575364144903562,NA,0.287682072451781,0.470003629245736,0.470003629245736,NA,0.470003629245736,0,1.16315080980568,NA,1.38629436111989,0.980829253011726,NA
NM_GM42_3,NA,NA,0.826678573184468,0.575364144903562,NA,0.470003629245736,NA,1.16315080980568,NA,0.980829253011726,1.16315080980568,1.16315080980568,NA,1.16315080980568,1.16315080980568,0,NA,0.980829253011726,0.826678573184468,NA
NM_GM42_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
NM_GM42_5,NA,NA,0.287682072451781,0.826678573184468,NA,0.980829253011726,NA,0.826678573184468,NA,1.38629436111989,1.38629436111989,1.38629436111989,NA,1.38629436111989,1.38629436111989,0.980829253011726,NA,0,1.16315080980568,NA
NM_GM42_8,NA,NA,1.16315080980568,1.38629436111989,NA,1.38629436111989,NA,0.693147180559945,NA,1.38629436111989,1.67397643357167,1.67397643357167,NA,2.07944154167984,0.980829253011726,0.826678573184468,NA,1.16315080980568,0,NA
NM_GM42_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
