,NM_Li_JMa_PJ87_1,NM_Li_JMa_PJ87_10,NM_Li_JMa_PJ87_11,NM_Li_JMa_PJ87_2,NM_Li_JMa_PJ87_4,NM_Li_JMa_PJ87_9,NM_Li_JMa_PJ88_1,NM_Li_JMa_PJ88_11,NM_Li_JMa_PJ88_3,NM_Li_JMa_PJ88_4,NM_Li_JMa_PJ88_7,NM_Li_JMa_PJ88_8
NM_Li_JMa_PJ87_1,0,NA,1.269075582,0.658650745,0.493874848,2.691099425,0.476329188,0.640466923,0.422261967,0.640466923,1.287259404,1.132422383
NM_Li_JMa_PJ87_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM_Li_JMa_PJ87_11,1.269075582,NA,0,1.368110539,1.080274549,2.638419167,0.749071331,0.587786665,1.062728889,0.853489831,0.639872039,0.792060052
NM_Li_JMa_PJ87_2,0.658650745,NA,1.368110539,0,0.675601521,2.251137881,0.84729786,1.704582776,0.498991166,0.674963358,0.806475866,1.155084361
NM_Li_JMa_PJ87_4,0.493874848,NA,1.080274549,0.675601521,0,2.268683541,0.577161448,1.028981255,0.379335705,0.28704391,1.963455809,1.607948092
NM_Li_JMa_PJ87_9,2.691099425,NA,2.638419167,2.251137881,2.268683541,0,NA,2.638419167,2.65660299,2.232954059,2.251137881,1.926401823
NM_Li_JMa_PJ88_1,0.476329188,NA,0.749071331,0.84729786,0.577161448,NA,0,0.510660307,0.470003629,0.510660307,0.934309237,0.992565431
NM_Li_JMa_PJ88_11,0.640466923,NA,0.587786665,1.704582776,1.028981255,2.638419167,0.510660307,0,1.011435595,1.098612289,0.605970487,0.536126678
NM_Li_JMa_PJ88_3,0.422261967,NA,1.062728889,0.498991166,0.379335705,2.65660299,0.470003629,1.011435595,0,0.42364893,1.134979933,1.590402432
NM_Li_JMa_PJ88_4,0.640466923,NA,0.853489831,0.674963358,0.28704391,2.232954059,0.510660307,1.098612289,0.42364893,0,1.299117668,1.772889305
NM_Li_JMa_PJ88_7,1.287259404,NA,0.639872039,0.806475866,1.963455809,2.251137881,0.934309237,0.605970487,1.134979933,1.299117668,0,0.299418251
NM_Li_JMa_PJ88_8,1.132422383,NA,0.792060052,1.155084361,1.607948092,1.926401823,0.992565431,0.536126678,1.590402432,1.772889305,0.299418251,0
