,AZ_SC_JMa_PJ53_15,AZ_SC_JMa_PJ53_17,AZ_SC_JMa_PJ53_22,AZ_SC_JMa_PJ53_3,AZ_SC_JMa_PJ53_6,AZ_SC_JMa_PJ53_8,AZ_SC_JMa_PJ54_12,AZ_SC_JMa_PJ54_23,AZ_SC_JMa_PJ54_24,AZ_SC_JMa_PJ54_4,AZ_SC_JMa_PJ54_5,AZ_SC_JMa_PJ54_8
AZ_SC_JMa_PJ53_15,0,0.712017345,1.19752516,1.044545067,1.269075582,NA,1.291035199,1.20076252,1.606227629,2.117053252,1.753278949,1.98418238
AZ_SC_JMa_PJ53_17,0.712017345,0,1.178654996,1.079742125,0.84474031,NA,1.272165035,1.944032408,2.503648196,1.250885228,1.223583161,2.301784452
AZ_SC_JMa_PJ53_22,1.19752516,1.178654996,0,1.485207233,3.32964696,NA,2.812610076,2.280504645,NA,1.810501016,3.238486181,3.911222365
AZ_SC_JMa_PJ53_3,1.044545067,1.079742125,1.485207233,0,0.950621851,NA,1.445185879,1.711588144,2.52251836,2.810200433,2.158744057,1.157503806
AZ_SC_JMa_PJ53_6,1.269075582,0.84474031,3.32964696,0.950621851,0,NA,1.343715457,1.188904257,1.47658633,1.658907886,1.518277134,0.987040513
AZ_SC_JMa_PJ53_8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
AZ_SC_JMa_PJ54_12,1.291035199,1.272165035,2.812610076,1.445185879,1.343715457,NA,0,1.210863874,0.75887875,1.077332481,0.895879735,0.926762032
AZ_SC_JMa_PJ54_23,1.20076252,1.944032408,2.280504645,1.711588144,1.188904257,NA,1.210863874,0,0.995428052,1.430746124,2.260894289,1.077332481
AZ_SC_JMa_PJ54_24,1.606227629,2.503648196,NA,2.52251836,1.47658633,NA,0.75887875,0.995428052,0,0.884202417,0.612235663,1.365014554
AZ_SC_JMa_PJ54_4,2.117053252,1.250885228,1.810501016,2.810200433,1.658907886,NA,1.077332481,1.430746124,0.884202417,0,0.979960443,1.365014554
AZ_SC_JMa_PJ54_5,1.753278949,1.223583161,3.238486181,2.158744057,1.518277134,NA,0.895879735,2.260894289,0.612235663,0.979960443,0,1.326662651
AZ_SC_JMa_PJ54_8,1.98418238,2.301784452,3.911222365,1.157503806,0.987040513,NA,0.926762032,1.077332481,1.365014554,1.365014554,1.326662651,0
