,AZ_Pi_JMa_PJ91_1,AZ_Pi_JMa_PJ91_11,AZ_Pi_JMa_PJ91_2,AZ_Pi_JMa_PJ91_5,AZ_Pi_JMa_PJ91_7,AZ_Pi_JMa_PJ91_8,AZ_Pi_JMa_PJ91_9,AZ_Pi_JMa_PJ92_11,AZ_Pi_JMa_PJ92_3,AZ_Pi_JMa_PJ92_7,AZ_Pi_JMa_PJ92_8,AZ_Pi_JMa_PJ92_9
AZ_Pi_JMa_PJ91_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ_Pi_JMa_PJ91_11,NA,0,1.629048269,2.139873893,2.564209165,1.078809661,1.514127733,0.712757537,0.693147181,NA,1.00124025,0.967584026
AZ_Pi_JMa_PJ91_2,NA,1.629048269,0,2.564949357,NA,1.85219182,0.840590909,0.693147181,0.987194383,NA,1.831780823,1.292576032
AZ_Pi_JMa_PJ91_5,NA,2.139873893,2.564949357,0,1.485207233,1.446726712,1.041261604,1.871802177,1.85219182,NA,0.579017855,2.545339001
AZ_Pi_JMa_PJ91_7,NA,2.564209165,NA,1.485207233,0,2.564209165,1.552608253,NA,2.004593377,NA,2.320654616,1.552608253
AZ_Pi_JMa_PJ91_8,NA,1.078809661,1.85219182,1.446726712,2.564209165,0,1.203972804,0.987194383,1.272965676,NA,0.895879735,1.139434283
AZ_Pi_JMa_PJ91_9,NA,1.514127733,0.840590909,1.041261604,1.552608253,1.203972804,0,1.041261604,2.120263536,NA,1.406705358,0.733969175
AZ_Pi_JMa_PJ92_11,NA,0.712757537,0.693147181,1.871802177,NA,0.987194383,1.041261604,0,0.712757537,NA,1.020850607,1.223583161
AZ_Pi_JMa_PJ92_3,NA,0.693147181,0.987194383,1.85219182,2.004593377,1.272965676,2.120263536,0.712757537,0,NA,0.895879735,0.916290732
AZ_Pi_JMa_PJ92_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
AZ_Pi_JMa_PJ92_8,NA,1.00124025,1.831780823,0.579017855,2.320654616,0.895879735,1.406705358,1.020850607,0.895879735,NA,0,1.326662651
AZ_Pi_JMa_PJ92_9,NA,0.967584026,1.292576032,2.545339001,1.552608253,1.139434283,0.733969175,1.223583161,0.916290732,NA,1.326662651,0
