,CA_LA_JC_PJ95_11,CA_LA_JC_PJ95_12,CA_LA_JC_PJ95_4,CA_LA_JC_PJ95_5,CA_LA_JC_PJ95_7,CA_LA_JC_PJ95_9,CA_LA_JC_PJ96_11,CA_LA_JC_PJ96_2,CA_LA_JC_PJ96_4,CA_LA_JC_PJ96_5,CA_LA_JC_PJ96_6,CA_LA_JC_PJ96_7
CA_LA_JC_PJ95_11,0,0.567489966,0.935901088,1.292576032,NA,1.311446196,0.653926467,1.119023286,0.979960443,1.609437912,2.282174096,NA
CA_LA_JC_PJ95_12,0.567489966,0,0.852803489,1.280247504,NA,1.368110539,0.357769435,1.115063007,1.287939214,1.329630018,2.56198199,NA
CA_LA_JC_PJ95_4,0.935901088,0.852803489,0,2.159484249,NA,0.974381609,0.712757537,1.020850607,0.754448342,1.446726712,2.301784452,NA
CA_LA_JC_PJ95_5,1.292576032,1.280247504,2.159484249,0,NA,1.66752879,1.85219182,1.513327092,1.69271798,1.15904464,1.608637272,NA
CA_LA_JC_PJ95_7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ95_9,1.311446196,1.368110539,0.974381609,1.66752879,NA,0,1.465596876,1.627507436,1.018440964,1.006064547,2.13833306,NA
CA_LA_JC_PJ96_11,0.653926467,0.357769435,0.712757537,1.85219182,NA,1.465596876,0,1.183561807,1.472436928,1.347073648,2.282174096,NA
CA_LA_JC_PJ96_2,1.119023286,1.115063007,1.020850607,1.513327092,NA,1.627507436,1.183561807,0,1.284971846,1.406705358,2.48490665,NA
CA_LA_JC_PJ96_4,0.979960443,1.287939214,0.754448342,1.69271798,NA,1.018440964,1.472436928,1.284971846,0,1.097743479,1.904011055,NA
CA_LA_JC_PJ96_5,1.609437912,1.329630018,1.446726712,1.15904464,NA,1.006064547,1.347073648,1.406705358,1.097743479,0,2.099852539,NA
CA_LA_JC_PJ96_6,2.282174096,2.56198199,2.301784452,1.608637272,NA,2.13833306,2.282174096,2.48490665,1.904011055,2.099852539,0,NA
CA_LA_JC_PJ96_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
