,UT_Da_JN_PJ15_12,UT_Da_JN_PJ15_13,UT_Da_JN_PJ15_14,UT_Da_JN_PJ15_3,UT_Da_JN_PJ15_4,UT_Da_JN_PJ15_7,UT_Da_JN_PJ15_9,UT_Da_JN_PJ16_11,UT_Da_JN_PJ16_21,UT_Da_JN_PJ16_24,UT_Da_JN_PJ16_6
UT_Da_JN_PJ15_12,0,1.097925947,1.871802177,2.85263143,0,2.378859792,3.258096538,2.503648196,0,1.098420018,3.258096538
UT_Da_JN_PJ15_13,1.097925947,0,1.503391055,2.196538235,0,1.802619142,2.196538235,1.529101271,0,1.135474004,3.988297705
UT_Da_JN_PJ15_14,1.871802177,1.503391055,0,1.648658626,0,2.196538235,1.312186389,0.63184602,0,2.545339001,3.258096538
UT_Da_JN_PJ15_3,2.85263143,2.196538235,1.648658626,0,0,0.810243874,0.340325806,1.3249932,0,2.833021073,0.517256514
UT_Da_JN_PJ15_4,2.256214503,2.219307012,1.756535261,1.768325588,0,1.802619142,1.824882829,1.630569478,0,2.296758703,1.903940554
UT_Da_JN_PJ15_7,2.378859792,2.235794349,2.196538235,0.810243874,0,0,0.76942188,2.828384255,0,3.968687348,0.656093194
UT_Da_JN_PJ15_9,3.258096538,2.196538235,1.312186389,0.340325806,0,0.76942188,0,1.944032408,0,3.238486181,0.773189888
UT_Da_JN_PJ16_11,2.503648196,1.529101271,0.63184602,1.3249932,0,2.828384255,1.944032408,0,0,2.771719912,1.587357465
UT_Da_JN_PJ16_21,2.256214503,2.219307012,1.756535261,1.768325588,0,1.802619142,1.824882829,1.630569478,0,2.296758703,1.903940554
UT_Da_JN_PJ16_24,1.098420018,1.135474004,2.545339001,2.833021073,0,3.968687348,3.238486181,2.771719912,0,0,2.807159043
UT_Da_JN_PJ16_6,3.258096538,3.988297705,3.258096538,0.517256514,0,0.656093194,0.773189888,1.587357465,0,2.4609362,0
UT_Da_JN_PJ16_7,2.256214503,2.219307012,1.756535261,1.768325588,0,1.802619142,1.824882829,1.630569478,0,2.296758703,1.903940554
