,UT_Ca_JN_PJ17_1,UT_Ca_JN_PJ17_13,UT_Ca_JN_PJ17_16,UT_Ca_JN_PJ17_17,UT_Ca_JN_PJ17_3,UT_Ca_JN_PJ17_9,UT_Ca_JN_PJ18_1,UT_Ca_JN_PJ18_10,UT_Ca_JN_PJ18_19,UT_Ca_JN_PJ18_2,UT_Ca_JN_PJ18_6,UT_Ca_JN_PJ18_8
UT_Ca_JN_PJ17_1,0,0,0,0,2.545339001,0,0,0,2.196538235,0,0,0
UT_Ca_JN_PJ17_13,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
UT_Ca_JN_PJ17_16,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
UT_Ca_JN_PJ17_17,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
UT_Ca_JN_PJ17_3,2.545339001,0,0,0,0,0,0,0,2.582392987,0,0,0
UT_Ca_JN_PJ17_9,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
UT_Ca_JN_PJ18_1,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
UT_Ca_JN_PJ18_10,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
UT_Ca_JN_PJ18_19,2.196538235,0,0,0,2.582392987,0,0,0,0,0,0,0
UT_Ca_JN_PJ18_2,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
UT_Ca_JN_PJ18_6,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
UT_Ca_JN_PJ18_8,2.210715375,0,0,0,1.774782989,0,0,0,2.113290345,0,0,0
