,UT_Ca_JR_PJ1_27,UT_Ca_JR_PJ1_6,UT_Ca_JR_PJ11_14,UT_Ca_JR_PJ11_18,UT_Ca_JR_PJ11_7,UT_Ca_JR_PJ11_9,UT_Ca_JR_PJ12_18,UT_Ca_JR_PJ2_12,UT_Ca_JR_PJ2_29,UT_Ca_JR_PJ2_35,UT_Ca_JR_PJ2_36,UT_Ca_JR_PJ2_41
UT_Ca_JR_PJ1_27,0,1.155084361,1.270308628,2.251137881,0.84729786,1.945910149,0.992565431,0.767255153,2.215408399,1.590402432,0,1.945910149
UT_Ca_JR_PJ1_6,1.155084361,0,2.214083895,2.619549003,2.196538235,3.295150524,1.312186389,0.943775267,1.57221861,1.466337069,0,1.503391055
UT_Ca_JR_PJ11_14,1.270308628,2.214083895,0,1.421385681,0.86484352,1.270308628,1.010111091,1.270308628,2.036071705,1.115471607,0,2.251137881
UT_Ca_JR_PJ11_18,2.251137881,2.619549003,1.421385681,0,0.86484352,1.047165077,1.233254642,1.557990701,1.722128436,1.366786035,0,1.963455809
UT_Ca_JR_PJ11_7,0.84729786,2.196538235,0.86484352,0.86484352,0,0.767255153,0.299418251,1.134979933,1.927726327,0.852803489,0,3.33220451
UT_Ca_JR_PJ11_9,1.945910149,3.295150524,1.270308628,1.047165077,0.767255153,0,1.043858725,2.63905733,1.704582776,0.76942188,0,1.540445041
UT_Ca_JR_PJ12_18,0.992565431,1.312186389,1.010111091,1.233254642,0.299418251,1.043858725,0,0.810243874,2.024203734,1.060871961,0,2.602003344
UT_Ca_JR_PJ2_12,0.767255153,0.943775267,1.270308628,1.557990701,1.134979933,2.63905733,0.810243874,0,1.368110539,1.908856163,0,1.134979933
UT_Ca_JR_PJ2_29,2.215408399,1.57221861,1.939177477,1.722128436,1.927726327,1.704582776,2.024203734,1.368110539,0,3.970113883,0,1.011435595
UT_Ca_JR_PJ2_35,1.590402432,1.466337069,1.115471607,1.366786035,0.852803489,0.76942188,1.060871961,1.908856163,3.970113883,0,0,2.047053514
UT_Ca_JR_PJ2_36,1.748556803,1.866704515,1.939177477,1.989235855,1.862455001,1.932180724,1.836897592,1.807495804,2.036071705,1.938535404,0,1.868168188
UT_Ca_JR_PJ2_41,1.945910149,1.503391055,2.251137881,1.963455809,3.33220451,1.540445041,2.602003344,1.134979933,1.011435595,1.938535404,0,0
