,CA_Tu_JR_PJ4_11,CA_Tu_JR_PJ4_12,CA_Tu_JR_PJ4_14,CA_Tu_JR_PJ4_15,CA_Tu_JR_PJ4_17,CA_Tu_JR_PJ4_5,CA_Tu_JR_PJ4_8,UT_Ca_JR_PJ3_10,UT_Ca_JR_PJ3_12,UT_Ca_JR_PJ3_18,UT_Ca_JR_PJ3_3,UT_Ca_JR_PJ3_8
CA_Tu_JR_PJ4_11,0,1.810986106,0,0,0,0,1.632116626,1.958811538,1.849100983,0,1.8133348,0
CA_Tu_JR_PJ4_12,0,0,0,0,0,0,0.877644895,1.463369701,1.011435595,0,1.522261219,0
CA_Tu_JR_PJ4_14,0,1.810986106,0,0,0,0,1.632116626,1.958811538,1.849100983,0,1.8133348,0
CA_Tu_JR_PJ4_15,0,1.810986106,0,0,0,0,1.632116626,1.958811538,1.849100983,0,1.8133348,0
CA_Tu_JR_PJ4_17,0,1.810986106,0,0,0,0,1.632116626,1.958811538,1.849100983,0,1.8133348,0
CA_Tu_JR_PJ4_5,0,1.810986106,0,0,0,0,1.632116626,1.958811538,1.849100983,0,1.8133348,0
CA_Tu_JR_PJ4_8,0,0.877644895,0,0,0,0,0,1.326662651,0.859461073,0,0.859461073,0
UT_Ca_JR_PJ3_10,0,1.463369701,0,0,0,0,1.326662651,0,1.291035199,0,1.222042328,0
UT_Ca_JR_PJ3_12,0,1.011435595,0,0,0,0,0.859461073,1.291035199,0,0,0.300104592,0
UT_Ca_JR_PJ3_18,0,1.810986106,0,0,0,0,1.632116626,1.958811538,1.849100983,0,1.8133348,0
UT_Ca_JR_PJ3_3,0,1.522261219,0,0,0,0,0.859461073,1.222042328,0.300104592,0,0,0
UT_Ca_JR_PJ3_8,0,1.810986106,0,0,0,0,1.632116626,1.958811538,1.849100983,0,1.8133348,0
