,CA_Fr_JR_PJ61_11,CA_Fr_JR_PJ61_2,CA_Fr_JR_PJ61_4,CA_Fr_JR_PJ61_6,CA_Fr_JR_PJ61_8,CA_Fr_JR_PJ61_9,CA_Fr_JR_PJ62_1,CA_Fr_JR_PJ62_10,CA_Fr_JR_PJ62_2,CA_Fr_JR_PJ62_4,CA_Fr_JR_PJ62_7,CA_Fr_JR_PJ62_8
CA_Fr_JR_PJ61_11,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ61_2,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ61_4,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ61_6,0,0,0,0,0,0,0,0,0,0,1.713997787,1.250885228
CA_Fr_JR_PJ61_8,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ61_9,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ62_1,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ62_10,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ62_2,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ62_4,0,0,0,1.841956587,0,0,0,0,0,0,1.625494652,1.584610243
CA_Fr_JR_PJ62_7,0,0,0,1.713997787,0,0,0,0,0,0,0,0.714426988
CA_Fr_JR_PJ62_8,0,0,0,1.250885228,0,0,0,0,0,0,0.714426988,0
