,CA_Lake_JR_PJ79_1,CA_Lake_JR_PJ79_11,CA_Lake_JR_PJ79_12,CA_Lake_JR_PJ79_3,CA_Lake_JR_PJ79_5,CA_Lake_JR_PJ79_6,CA_Lake_JR_PJ79_7,CA_Lake_JR_PJ80_11,CA_Lake_JR_PJ80_2,CA_Lake_JR_PJ80_3,CA_Lake_JR_PJ80_6,CA_Lake_JR_PJ80_7
CA_Lake_JR_PJ79_1,0,0.635796496,1.078809661,3.931633362,1.966112856,1.117290182,0,2.813410717,1.135747253,2.48403784,0.991632968,1.522261219
CA_Lake_JR_PJ79_11,0.635796496,0,0.599428852,2.564949357,1.629048269,0.792060052,0,1.292576032,1.15535761,2.098183088,0.625580844,1.205399339
CA_Lake_JR_PJ79_12,1.078809661,0.599428852,0,3.238486181,1.714798428,1.060131768,0,1.139434283,2.16536667,2.771719912,0.934474554,1.74540477
CA_Lake_JR_PJ79_3,3.931633362,2.564949357,3.238486181,0,1.533738089,2.583819521,0,1.098420018,2.408120578,1.250885228,1.647232091,2.458162307
CA_Lake_JR_PJ79_5,1.966112856,1.629048269,1.714798428,1.533738089,0,1.465596876,0,1.427116356,1.828894434,1.790890659,1.426951039,1.627621735
CA_Lake_JR_PJ79_6,1.117290182,0.792060052,1.060131768,2.583819521,1.465596876,0,0,1.311446196,1.867374954,2.117053252,1.09073811,1.560741739
CA_Lake_JR_PJ79_7,2.023471458,1.844341292,2.013143615,2.090057531,1.996509262,2.134227566,0,1.765611666,1.710177931,2.044453328,1.863462354,1.929766258
CA_Lake_JR_PJ80_11,2.813410717,1.292576032,1.139434283,1.098420018,1.427116356,1.311446196,0,0,2.388510221,1.472436928,1.259896954,1.522261219
CA_Lake_JR_PJ80_2,1.135747253,1.15535761,2.16536667,2.408120578,1.828894434,1.867374954,0,2.388510221,0,2.123675866,1.385042796,1.490403312
CA_Lake_JR_PJ80_3,2.48403784,2.098183088,2.771719912,1.250885228,1.790890659,2.117053252,0,1.472436928,2.123675866,0,1.480570414,2.396861146
CA_Lake_JR_PJ80_6,0.991632968,0.625580844,0.934474554,1.647232091,1.426951039,1.09073811,0,1.259896954,1.385042796,1.480570414,0,1.252762968
CA_Lake_JR_PJ80_7,1.522261219,1.205399339,1.74540477,2.458162307,1.627621735,1.560741739,0,1.522261219,1.490403312,2.396861146,1.252762968,0
