,CA_SD_Jsp_PJ5_15,CA_SD_Jsp_PJ5_3,CA_SD_Jsp_PJ6_11,CA_SD_Jsp_PJ6_13,CA_SD_Jsp_PJ6_14,CA_SD_Jsp_PJ6_9,CA_SD_Jsp_PJ7_15,CA_SD_Jsp_PJ7_17,CA_SD_Jsp_PJ7_24,CA_SD_Jsp_PJ7_8,CA_SD_Jsp_PJ8_16,CA_SD_Jsp_PJ8_22
CA_SD_Jsp_PJ5_15,0,0,1.744562508,1.879156034,0,0,0,0,0,1.706839505,1.714249603,0
CA_SD_Jsp_PJ5_3,0,0,1.744562508,1.879156034,0,0,0,0,0,1.706839505,1.714249603,0
CA_SD_Jsp_PJ6_11,0,0,0,1.00124025,0,0,0,0,0,1.15904464,0.905981088,0
CA_SD_Jsp_PJ6_13,0,0,1.00124025,0,0,0,0,0,0,1.965312216,1.98418238,0
CA_SD_Jsp_PJ6_14,0,0,1.744562508,1.879156034,0,0,0,0,0,1.706839505,1.714249603,0
CA_SD_Jsp_PJ6_9,0,0,1.744562508,1.879156034,0,0,0,0,0,1.706839505,1.714249603,0
CA_SD_Jsp_PJ7_15,0,0,1.744562508,1.879156034,0,0,0,0,0,1.706839505,1.714249603,0
CA_SD_Jsp_PJ7_17,0,0,1.744562508,1.879156034,0,0,0,0,0,1.706839505,1.714249603,0
CA_SD_Jsp_PJ7_24,0,0,1.744562508,1.879156034,0,0,0,0,0,1.706839505,1.714249603,0
CA_SD_Jsp_PJ7_8,0,0,1.15904464,1.965312216,0,0,0,0,0,0,0.879071429,0
CA_SD_Jsp_PJ8_16,0,0,0.905981088,1.98418238,0,0,0,0,0,0.879071429,0,0
CA_SD_Jsp_PJ8_22,0,0,1.744562508,1.879156034,0,0,0,0,0,1.706839505,1.714249603,0
