,CA_Ma_JH_PJ19_10,CA_Ma_JH_PJ19_2,CA_Ma_JH_PJ19_22,CA_Ma_JH_PJ19_6,CA_Ma_JH_PJ19_7,CA_Ma_JH_PJ20_10,CA_Ma_JH_PJ20_15,CA_Ma_JH_PJ20_2,CA_Ma_JH_PJ20_20,CA_Ma_JH_PJ20_4,CA_Ma_JH_PJ20_5,CA_Ma_JH_PJ20_8
CA_Ma_JH_PJ19_10,0,1.797417378,2.119013198,0,1.810742057,1.764301396,1.841617531,1.885255781,1.797956781,2.077966377,2.005910889,1.769472512
CA_Ma_JH_PJ19_2,0,0,1.927726327,0,0.749071331,1.455087193,0.618299016,0.772449696,1.177914804,1.311446196,1.850650987,0.50437798
CA_Ma_JH_PJ19_22,0,1.927726327,0,0,1.722766598,0.88548435,2.870075059,1.260637147,2.022777199,1.666102255,1.550381078,1.685712612
CA_Ma_JH_PJ19_6,0,1.797417378,2.119013198,0,1.810742057,1.764301396,1.841617531,1.885255781,1.797956781,2.077966377,2.005910889,1.769472512
CA_Ma_JH_PJ19_7,0,0.749071331,1.722766598,0,0,1.696414566,0.92416491,1.07831559,0.92416491,1.666102255,1.309219021,1.043858725
CA_Ma_JH_PJ20_10,0,1.455087193,0.88548435,0,1.696414566,0,1.416606672,1.234285115,0.828820007,1.416606672,2.600168479,1.541577544
CA_Ma_JH_PJ20_15,0,0.618299016,2.870075059,0,0.92416491,1.416606672,0,0.776528789,1.021651248,0.579818495,1.119023286,0.935901088
CA_Ma_JH_PJ20_2,0,0.772449696,1.260637147,0,1.07831559,1.234285115,0.776528789,0,0.916290732,0.776528789,1.119023286,1.292576032
CA_Ma_JH_PJ20_20,0,1.177914804,2.022777199,0,0.92416491,0.828820007,1.021651248,0.916290732,0,1.272965676,1.493716735,1.098420018
CA_Ma_JH_PJ20_4,0,1.311446196,1.666102255,0,1.666102255,1.416606672,0.579818495,0.776528789,1.272965676,0,0.947173029,1.446726712
CA_Ma_JH_PJ20_5,0,1.850650987,1.550381078,0,1.309219021,2.600168479,1.119023286,1.119023286,1.493716735,0.947173029,0,2.524928004
CA_Ma_JH_PJ20_8,0,0.50437798,1.685712612,0,1.043858725,1.541577544,0.935901088,1.292576032,1.098420018,1.446726712,2.524928004,0
