,CA_Sol_Jmi_PJ45_10,CA_Sol_Jmi_PJ45_12,CA_Sol_Jmi_PJ45_19,CA_Sol_Jmi_PJ45_20,CA_Sol_Jmi_PJ45_5,CA_Sol_Jmi_PJ45_6,CA_Sol_Jmi_PJ45_7,CA_Sol_Jmi_PJ46_13,CA_Sol_Jmi_PJ46_19,CA_Sol_Jmi_PJ46_6,CA_Sol_Jmi_PJ46_7,CA_Sol_Jmi_PJ46_9
CA_Sol_Jmi_PJ45_10,0,1.405164525,1.365143171,0.792060052,1.365143171,1.177914804,1.006064547,0.597888019,0.474825517,1.098612289,0.788292044,1.262063681
CA_Sol_Jmi_PJ45_12,1.405164525,0,1.078009021,0.815749503,0.653125827,1.041261604,0.796139146,0.866699927,0.84542012,0.50437798,0.992565431,0.655406853
CA_Sol_Jmi_PJ45_19,1.365143171,1.078009021,0,1.426315715,1.673976434,1.406705358,0.947173029,1.568615918,1.01670786,1.365143171,0.690179813,0.653125827
CA_Sol_Jmi_PJ45_20,0.792060052,0.815749503,1.426315715,0,0.820179911,0.840590909,1.366684005,1.078009021,0.894210284,0.674277017,1.215708982,1.006804739
CA_Sol_Jmi_PJ45_5,1.365143171,0.653125827,1.673976434,0.820179911,0,0.84708957,1.00124025,1.306251653,1.210863874,0.885570091,1.24022615,1.203172164
CA_Sol_Jmi_PJ45_6,1.177914804,1.041261604,1.406705358,0.840590909,0.84708957,0,0.820980552,1.00124025,1.231274871,0.905981088,0.567489966,1.15904464
CA_Sol_Jmi_PJ45_7,1.006064547,0.796139146,0.947173029,1.366684005,1.00124025,0.820980552,0,1.00124025,0.574495335,1.465596876,0.601391518,0.465897459
CA_Sol_Jmi_PJ46_13,0.597888019,0.866699927,1.568615918,1.078009021,1.306251653,1.00124025,1.00124025,0,0.75887875,1.039720771,0.812782135,1.020850607
CA_Sol_Jmi_PJ46_19,0.474825517,0.84542012,1.01670786,0.894210284,1.210863874,1.231274871,0.574495335,0.75887875,0,1.075599377,1.036624786,0.594105692
CA_Sol_Jmi_PJ46_6,1.098612289,0.50437798,1.365143171,0.674277017,0.885570091,0.905981088,1.465596876,1.039720771,1.075599377,0,1.299117668,1.19752516
CA_Sol_Jmi_PJ46_7,0.788292044,0.992565431,0.690179813,1.215708982,1.24022615,0.567489966,0.601391518,0.812782135,1.036624786,1.299117668,0,0.522561802
CA_Sol_Jmi_PJ46_9,1.262063681,0.655406853,0.653125827,1.006804739,1.203172164,1.15904464,0.465897459,1.020850607,0.594105692,1.19752516,0.522561802,0
