,CA_Bu_JH_PJ29_2,CA_Bu_JH_PJ29_21,CA_Bu_JH_PJ29_5,CA_Bu_JH_PJ30_13,CA_Bu_JH_PJ30_14,CA_Bu_JH_PJ30_17,CA_Bu_JH_PJ30_18,CA_Bu_JH_PJ30_19,CA_Bu_JH_PJ30_22,CA_Bu_JH_PJ30_6,CA_Bu_JH_PJ30_8,CA_Bu_JH_PJ30_9
CA_Bu_JH_PJ29_2,0,0,0,0,0,0,2.545339001,3.198464828,0,1.966112856,2.525728644,0
CA_Bu_JH_PJ29_21,1.728502151,0,0,0,0,0,2.184606452,2.01625282,0,1.992269756,2.186895397,0
CA_Bu_JH_PJ29_5,1.728502151,0,0,0,0,0,2.184606452,2.01625282,0,1.992269756,2.186895397,0
CA_Bu_JH_PJ30_13,1.728502151,0,0,0,0,0,2.184606452,2.01625282,0,1.992269756,2.186895397,0
CA_Bu_JH_PJ30_14,1.728502151,0,0,0,0,0,2.184606452,2.01625282,0,1.992269756,2.186895397,0
CA_Bu_JH_PJ30_17,1.728502151,0,0,0,0,0,2.184606452,2.01625282,0,1.992269756,2.186895397,0
CA_Bu_JH_PJ30_18,2.545339001,0,0,0,0,0,0,0.866699927,0,1.041261604,0.840590909,0
CA_Bu_JH_PJ30_19,3.198464828,0,0,0,0,0,0.866699927,0,0,0.800569555,0.672736183,0
CA_Bu_JH_PJ30_22,1.728502151,0,0,0,0,0,2.184606452,2.01625282,0,1.992269756,2.186895397,0
CA_Bu_JH_PJ30_6,1.966112856,0,0,0,0,0,1.041261604,0.800569555,0,0,0.967584026,0
CA_Bu_JH_PJ30_8,2.525728644,0,0,0,0,0,0.840590909,0.672736183,0,0.967584026,0,0
CA_Bu_JH_PJ30_9,1.728502151,0,0,0,0,0,2.184606452,2.01625282,0,1.992269756,2.186895397,0
