,CA_Yo_JC_PJ59_11,CA_Yo_JC_PJ59_2,CA_Yo_JC_PJ59_3,CA_Yo_JC_PJ59_4,CA_Yo_JC_PJ59_7,CA_Yo_JC_PJ59_9,CA_Yo_JC_PJ60_10,CA_Yo_JC_PJ60_3,CA_Yo_JC_PJ60_4,CA_Yo_JC_PJ60_5,CA_Yo_JC_PJ60_6,CA_Yo_JC_PJ60_7
CA_Yo_JC_PJ59_11,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ59_2,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ59_3,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ59_4,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ59_7,0,0,0,0,0,0,0,0,0,0,0.852803489,0.93126427
CA_Yo_JC_PJ59_9,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ60_10,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ60_3,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ60_4,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ60_5,0,0,0,0,1.694757795,0,0,0,0,0,1.58569966,1.60580719
CA_Yo_JC_PJ60_6,0,0,0,0,0.852803489,0,0,0,0,0,0,0.488745176
CA_Yo_JC_PJ60_7,0,0,0,0,0.93126427,0,0,0,0,0,0.488745176,0
