,CA_Sol_Jci_PJ47_17,CA_Sol_Jci_PJ47_21,CA_Sol_Jci_PJ47_23,CA_Sol_Jci_PJ47_24,CA_Sol_Jci_PJ47_6,CA_Sol_Jci_PJ47_7,CA_Sol_Jci_PJ47_9,CA_Sol_Jci_PJ48_14,CA_Sol_Jci_PJ48_16,CA_Sol_Jci_PJ48_18,CA_Sol_Jci_PJ48_2,CA_Sol_Jci_PJ48_7
CA_Sol_Jci_PJ47_17,0,0.84708957,0.780158558,0,2.56198199,0,0,0,1.077332481,0,0,0
CA_Sol_Jci_PJ47_21,0.84708957,0,1.326662651,0,1.570792075,0,0,0,0.436344996,0,0,0
CA_Sol_Jci_PJ47_23,0.780158558,1.326662651,0,0,1.175687629,0,0,0,2.240483291,0,0,0
CA_Sol_Jci_PJ47_24,1.865037015,1.866052001,1.665825588,0,1.699043428,0,0,0,1.971929513,0,0,0
CA_Sol_Jci_PJ47_6,2.56198199,1.570792075,1.175687629,0,0,0,0,0,1.729771966,0,0,0
CA_Sol_Jci_PJ47_7,1.865037015,1.866052001,1.665825588,0,1.699043428,0,0,0,1.971929513,0,0,0
CA_Sol_Jci_PJ47_9,1.865037015,1.866052001,1.665825588,0,1.699043428,0,0,0,1.971929513,0,0,0
CA_Sol_Jci_PJ48_14,1.865037015,1.866052001,1.665825588,0,1.699043428,0,0,0,1.971929513,0,0,0
CA_Sol_Jci_PJ48_16,1.077332481,0.436344996,2.240483291,0,1.729771966,0,0,0,0,0,0,0
CA_Sol_Jci_PJ48_18,1.865037015,1.866052001,1.665825588,0,1.699043428,0,0,0,1.971929513,0,0,0
CA_Sol_Jci_PJ48_2,1.865037015,1.866052001,1.665825588,0,1.699043428,0,0,0,1.971929513,0,0,0
CA_Sol_Jci_PJ48_7,1.865037015,1.866052001,1.665825588,0,1.699043428,0,0,0,1.971929513,0,0,0
