,CA_Sol_JA_PJ27_11,CA_Sol_JA_PJ27_15,CA_Sol_JA_PJ27_23,CA_Sol_JA_PJ27_4,CA_Sol_JA_PJ27_5,CA_Sol_JA_PJ28_1,CA_Sol_JA_PJ28_11,CA_Sol_JA_PJ28_12,CA_Sol_JA_PJ28_22,CA_Sol_JA_PJ28_23,CA_Sol_JA_PJ28_7,CA_Sol_JA_PJ28_8
CA_Sol_JA_PJ27_11,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
CA_Sol_JA_PJ27_15,0,0,0,0,0,2.602689685,0,0,0,0,3.276966702,0
CA_Sol_JA_PJ27_23,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
CA_Sol_JA_PJ27_4,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
CA_Sol_JA_PJ27_5,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
CA_Sol_JA_PJ28_1,0,2.602689685,0,0,0,0,0,0,0,0,0.712017345,0
CA_Sol_JA_PJ28_11,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
CA_Sol_JA_PJ28_12,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
CA_Sol_JA_PJ28_22,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
CA_Sol_JA_PJ28_23,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
CA_Sol_JA_PJ28_7,0,3.276966702,0,0,0,0.712017345,0,0,0,0,0,0
CA_Sol_JA_PJ28_8,0,2.183358165,0,0,0,1.625284439,0,0,0,0,1.650988818,0
