,CA_Sol_Jmo_PJ25_12,CA_Sol_Jmo_PJ25_16,CA_Sol_Jmo_PJ25_18,CA_Sol_Jmo_PJ25_2,CA_Sol_Jmo_PJ25_21,CA_Sol_Jmo_PJ25_22,CA_Sol_Jmo_PJ26_15,CA_Sol_Jmo_PJ26_16,CA_Sol_Jmo_PJ26_20,CA_Sol_Jmo_PJ26_23,CA_Sol_Jmo_PJ26_4,CA_Sol_Jmo_PJ26_6
CA_Sol_Jmo_PJ25_12,0,0.446287103,0,0.405272837,0,0.635796496,0,0,1.058398664,0,1.305382843,0
CA_Sol_Jmo_PJ25_16,0.446287103,0,0,0.796139146,0,1.041261604,0,0,1.326662651,0,1.162282,0
CA_Sol_Jmo_PJ25_18,1.689753811,1.783464673,0,1.836164642,0,1.724296895,0,0,1.685168746,0,1.59002796,0
CA_Sol_Jmo_PJ25_2,0.405272837,0.796139146,0,0,0,0.583947889,0,0,1.138633643,0,1.250885228,0
CA_Sol_Jmo_PJ25_21,1.689753811,1.783464673,0,1.836164642,0,1.724296895,0,0,1.685168746,0,1.59002796,0
CA_Sol_Jmo_PJ25_22,0.635796496,1.041261604,0,0.583947889,0,0,0,0,0.653125827,0,0.945503578,0
CA_Sol_Jmo_PJ26_15,1.689753811,1.783464673,0,1.836164642,0,1.724296895,0,0,1.685168746,0,1.59002796,0
CA_Sol_Jmo_PJ26_16,1.689753811,1.783464673,0,1.836164642,0,1.724296895,0,0,1.685168746,0,1.59002796,0
CA_Sol_Jmo_PJ26_20,1.058398664,1.326662651,0,1.138633643,0,0.653125827,0,0,0,0,1.365014554,0
CA_Sol_Jmo_PJ26_23,1.689753811,1.783464673,0,1.836164642,0,1.724296895,0,0,1.685168746,0,1.59002796,0
CA_Sol_Jmo_PJ26_4,1.305382843,1.162282,0,1.250885228,0,0.945503578,0,0,1.365014554,0,0,0
CA_Sol_Jmo_PJ26_6,1.689753811,1.783464673,0,1.836164642,0,1.724296895,0,0,1.685168746,0,1.59002796,0
