,CA_GM22_10a,CA_GM22_10b,CA_GM22_10c,CA_GM22_11,CA_GM22_12,CA_GM22_14,CA_GM22_1a,CA_GM22_1b,CA_GM22_1c,CA_GM22_1d,CA_GM22_2,CA_GM22_4
CA_GM22_10a,0.0,0.0,1.8936176352370035,1.7808898165219722,1.9147675238518782,1.6884837831601198,1.843973794303749,1.8326131122714984,1.7967938792292033,0.0,0.0,1.838139090387895
CA_GM22_10b,0.0,0.0,1.8936176352370038,1.7808898165219718,1.9147675238518787,1.68848378316012,1.8439737943037493,1.8326131122714984,1.796793879229203,0.0,0.0,1.838139090387895
CA_GM22_10c,0.0,0.0,0.0,0.826678573184468,0.980829253011726,1.16315080980568,0.980829253011726,0.693147180559945,0.980829253011726,0.0,0.0,0.575364144903562
CA_GM22_11,0.0,0.0,0.826678573184468,0.0,1.16315080980568,0.693147180559945,0.13353139262452302,0.0645385211375712,0.287682072451781,0.0,0.0,0.20763936477824396
CA_GM22_12,0.0,0.0,0.980829253011726,1.16315080980568,0.0,0.980829253011726,1.38629436111989,0.980829253011726,1.16315080980568,0.0,0.0,1.16315080980568
CA_GM22_14,0.0,0.0,1.16315080980568,0.693147180559945,0.980829253011726,0.0,0.826678573184468,0.826678573184468,0.575364144903562,0.0,0.0,1.16315080980568
CA_GM22_1a,0.0,0.0,0.980829253011726,0.13353139262452302,1.38629436111989,0.826678573184468,0.0,0.20763936477824396,0.470003629245736,0.0,0.0,0.374693449441411
CA_GM22_1b,0.0,0.0,0.693147180559945,0.0645385211375712,0.980829253011726,0.826678573184468,0.20763936477824396,0.0,0.374693449441411,0.0,0.0,0.13353139262452302
CA_GM22_1c,0.0,0.0,0.980829253011726,0.287682072451781,1.16315080980568,0.575364144903562,0.470003629245736,0.374693449441411,0.0,0.0,0.0,0.470003629245736
CA_GM22_1d,0.0,0.0,1.8936176352370035,1.7808898165219718,1.9147675238518782,1.6884837831601198,1.8439737943037493,1.8326131122714984,1.7967938792292029,0.0,0.0,1.838139090387895
CA_GM22_2,0.0,0.0,1.8936176352370035,1.780889816521972,1.9147675238518787,1.6884837831601198,1.8439737943037493,1.8326131122714984,1.7967938792292029,0.0,0.0,1.838139090387895
CA_GM22_4,0.0,0.0,0.575364144903562,0.20763936477824396,1.16315080980568,1.16315080980568,0.374693449441411,0.13353139262452302,0.470003629245736,0.0,0.0,0.0
CA_GM22_5,0.0,0.0,0.826678573184468,0.980829253011726,1.16315080980568,1.16315080980568,0.826678573184468,0.980829253011726,0.980829253011726,0.0,0.0,0.826678573184468
CA_GM22_7,0.0,0.0,0.826678573184468,0.0645385211375712,1.16315080980568,0.575364144903562,0.20763936477824396,0.13353139262452302,0.20763936477824396,0.0,0.0,0.287682072451781
CA_GM22_8a,0.0,0.0,0.693147180559945,0.287682072451781,1.16315080980568,0.980829253011726,0.287682072451781,0.20763936477824396,0.470003629245736,0.0,0.0,0.20763936477824396
CA_GM22_8b,0.0,0.0,0.693147180559945,0.287682072451781,1.16315080980568,1.16315080980568,0.13353139262452302,0.20763936477824396,0.693147180559945,0.0,0.0,0.20763936477824396
CA_GM22_8c,0.0,0.0,0.693147180559945,0.287682072451781,1.16315080980568,1.16315080980568,0.13353139262452302,0.20763936477824396,0.693147180559945,0.0,0.0,0.20763936477824396
CA_GM22_8d,0.0,0.0,0.980829253011726,0.374693449441411,0.980829253011726,0.693147180559945,0.374693449441411,0.287682072451781,0.20763936477824396,0.0,0.0,0.470003629245736
CA_GM22_8e,0.0,0.0,1.16315080980568,0.287682072451781,1.16315080980568,0.575364144903562,0.470003629245736,0.374693449441411,0.13353139262452302,0.0,0.0,0.575364144903562
CA_GM22_9,0.0,0.0,2.77258872223978,2.77258872223978,2.07944154167984,1.67397643357167,2.77258872223978,2.77258872223978,2.77258872223978,0.0,0.0,2.77258872223978
