,CA_ED_JH_PJ65_10,CA_ED_JH_PJ65_11,CA_ED_JH_PJ65_12,CA_ED_JH_PJ65_2,CA_ED_JH_PJ65_3,CA_ED_JH_PJ65_4,CA_ED_JH_PJ66_10,CA_ED_JH_PJ66_11,CA_ED_JH_PJ66_2,CA_ED_JH_PJ66_3,CA_ED_JH_PJ66_7,CA_ED_JH_PJ66_8
CA_ED_JH_PJ65_10,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ65_11,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ65_12,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ65_2,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ65_3,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ65_4,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ66_10,0,0,0,0,0,0,0,0,0,0,0,0.820179911
CA_ED_JH_PJ66_11,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ66_2,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ66_3,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ66_7,0,0,0,0,0,0,1.809634646,0,0,0,0,1.644310337
CA_ED_JH_PJ66_8,0,0,0,0,0,0,0.820179911,0,0,0,0,0
