,CA_ED_JN_PJ13_1,CA_ED_JN_PJ13_11,CA_ED_JN_PJ13_12,CA_ED_JN_PJ13_15,CA_ED_JN_PJ13_22,CA_ED_JN_PJ13_5,CA_ED_JN_PJ14_1,CA_ED_JN_PJ14_16,CA_ED_JN_PJ14_17,CA_ED_JN_PJ14_21,CA_ED_JN_PJ14_22,CA_ED_JN_PJ14_8
CA_ED_JN_PJ13_1,0,0,0.798900104,1.405035908,0,0.715373062,0.474211005,1.711588144,1.036624786,1.385425551,0,0
CA_ED_JN_PJ13_11,1.676911715,0,1.767235442,2.254287455,0,1.688544264,1.776014044,1.70650347,1.717818154,1.736865597,0,0
CA_ED_JN_PJ13_12,0.798900104,0,0,3.258096538,0,1.095127954,0.73222246,1.57221861,1.503391055,1.446726712,0,0
CA_ED_JN_PJ13_15,1.405035908,0,3.258096538,0,0,1.382810026,1.921806527,2.101755336,2.602003344,2.139873893,0,0
CA_ED_JN_PJ13_22,1.676911715,0,1.767235442,2.254287455,0,1.688544264,1.776014044,1.70650347,1.717818154,1.736865597,0,0
CA_ED_JN_PJ13_5,0.715373062,0,1.095127954,1.382810026,0,0,0.648695418,1.488691567,1.602185569,1.650881742,0,0
CA_ED_JN_PJ14_1,0.474211005,0,0.73222246,1.921806527,0,0.648695418,0,2.277148928,1.419864013,1.450211047,0,0
CA_ED_JN_PJ14_16,1.711588144,0,1.57221861,3.153088959,0,1.488691567,2.277148928,0,0.749071331,0.618299016,0,0
CA_ED_JN_PJ14_17,1.036624786,0,1.503391055,2.602003344,0,1.602185569,1.419864013,0.749071331,0,0.877644895,0,0
CA_ED_JN_PJ14_21,1.385425551,0,1.446726712,2.139873893,0,1.650881742,1.450211047,0.618299016,0.877644895,0,0,0
CA_ED_JN_PJ14_22,1.676911715,0,1.767235442,2.254287455,0,1.688544264,1.776014044,1.70650347,1.717818154,1.736865597,0,0
CA_ED_JN_PJ14_8,1.676911715,0,1.767235442,2.254287455,0,1.688544264,1.776014044,1.70650347,1.717818154,1.736865597,0,0
