,CA_Te_JHxJR_PJ41_1,CA_Te_JHxJR_PJ41_10,CA_Te_JHxJR_PJ41_14,CA_Te_JHxJR_PJ41_5,CA_Te_JHxJR_PJ42_1,CA_Te_JHxJR_PJ42_15,CA_Te_JHxJR_PJ42_17,CA_Te_JHxJR_PJ42_18,CA_Te_JHxJR_PJ42_20,CA_Te_JHxJR_PJ42_23,CA_Te_JHxJR_PJ42_5,CA_Te_JHxJR_PJ42_9
CA_Te_JHxJR_PJ41_1,0,0.76942188,0.602818053,1.078009021,0.300304452,0.350711545,1.020850607,0,1.228659347,0.820179911,0.712017345,0.50437798
CA_Te_JHxJR_PJ41_10,0.76942188,0,0.639872039,1.24022615,1.003837372,0.806475866,0.857233897,0,1.014398904,0.952544077,1.011435595,0.674963358
CA_Te_JHxJR_PJ41_14,0.602818053,0.639872039,0,1.039720771,0.562796699,0.749071331,1.096879185,0,0.70853301,0.794598313,0.587786665,0.405465108
CA_Te_JHxJR_PJ41_5,1.078009021,1.24022615,1.039720771,0,1.232143681,1.309219021,0.875468737,0,0.608819498,1.306251653,1.039720771,1.365143171
CA_Te_JHxJR_PJ42_1,0.300304452,1.003837372,0.562796699,1.232143681,0,0.547078969,0.780158558,0,1.188637993,1.232143681,0.597888019,0.464356626
CA_Te_JHxJR_PJ42_15,0.350711545,0.806475866,0.749071331,1.309219021,0.547078969,0,0.952544077,0,1.419864013,0.903753913,0.916125415,0.541431966
CA_Te_JHxJR_PJ42_17,1.020850607,0.857233897,1.096879185,0.875468737,0.780158558,0.952544077,0,0,0.937323565,0.926762032,0.839050075,0.752038698
CA_Te_JHxJR_PJ42_18,1.814022872,1.738383318,1.637170718,1.633038565,1.670428493,1.917516887,1.819731794,0,1.607243542,1.851132101,1.702679344,1.787325974
CA_Te_JHxJR_PJ42_20,1.228659347,1.014398904,0.70853301,0.608819498,1.188637993,1.419864013,0.937323565,0,0,0.883256343,0.795544387,1.113998118
CA_Te_JHxJR_PJ42_23,0.820179911,0.952544077,0.794598313,1.306251653,1.232143681,0.903753913,0.926762032,0,0.883256343,0,1.445185879,0.711216704
CA_Te_JHxJR_PJ42_5,0.712017345,1.011435595,0.587786665,1.039720771,0.597888019,0.916125415,0.839050075,0,0.795544387,1.445185879,0,0.810930216
CA_Te_JHxJR_PJ42_9,0.50437798,0.674963358,0.405465108,1.365143171,0.464356626,0.541431966,0.752038698,0,1.113998118,0.711216704,0.810930216,0
