,CA_Te_JH_PJ71_12,CA_Te_JH_PJ71_2,CA_Te_JH_PJ71_3,CA_Te_JH_PJ71_6,CA_Te_JH_PJ71_7,CA_Te_JH_PJ71_9,CA_Te_JH_PJ72_11,CA_Te_JH_PJ72_4,CA_Te_JH_PJ72_6,CA_Te_JH_PJ72_7,CA_Te_JH_PJ72_8,CA_Te_JH_PJ72_9
CA_Te_JH_PJ71_12,0,0.38486184,0,1.645691258,0,0.820179911,0.775728149,1.694387431,0,0,1.326662651,1.222042328
CA_Te_JH_PJ71_2,0.38486184,0,0,1.685712612,0,1.312186389,0.550046337,1.366684005,0,0,1.292576032,1.025674903
CA_Te_JH_PJ71_3,1.880519457,1.871068393,0,1.9849869,0,1.761152945,1.817442811,1.655145604,0,0,1.664499956,1.742004898
CA_Te_JH_PJ71_6,1.645691258,1.685712612,0,0,0,1.215708982,1.503391055,1.135474004,0,0,1.07831559,1.809943291
CA_Te_JH_PJ71_7,1.880519457,1.871068393,0,1.9849869,0,1.761152945,1.817442811,1.655145604,0,0,1.664499956,1.742004898
CA_Te_JH_PJ71_9,0.820179911,1.312186389,0,1.215708982,0,0,0.906721281,1.223583161,0,0,1.366684005,1.19752516
CA_Te_JH_PJ72_11,0.775728149,0.550046337,0,1.503391055,0,0.906721281,0,0.840590909,0,0,0.887110924,1.136900539
CA_Te_JH_PJ72_4,1.694387431,1.366684005,0,1.135474004,0,1.223583161,0.840590909,0,0,0,1.347073648,1.177914804
CA_Te_JH_PJ72_6,1.880519457,1.871068393,0,1.9849869,0,1.761152945,1.817442811,1.655145604,0,0,1.664499956,1.742004898
CA_Te_JH_PJ72_7,1.880519457,1.871068393,0,1.9849869,0,1.761152945,1.817442811,1.655145604,0,0,1.664499956,1.742004898
CA_Te_JH_PJ72_8,1.326662651,1.292576032,0,1.07831559,0,1.366684005,0.887110924,1.347073648,0,0,0,0.731627701
CA_Te_JH_PJ72_9,1.222042328,1.025674903,0,1.809943291,0,1.19752516,1.136900539,1.177914804,0,0,0.731627701,0
