,CA_LA_JC_PJ51_21,CA_LA_JC_PJ51_22,CA_LA_JC_PJ51_4,CA_LA_JC_PJ51_5,CA_LA_JC_PJ51_7,CA_LA_JC_PJ52_10,CA_LA_JC_PJ52_16,CA_LA_JC_PJ52_19,CA_LA_JC_PJ52_20,CA_LA_JC_PJ52_3,CA_LA_JC_PJ52_4,CA_LA_JC_PJ52_6
CA_LA_JC_PJ51_21,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ51_22,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ51_4,0,0,0,0,0,0,0,0,1.925290862,0,0,0
CA_LA_JC_PJ51_5,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ51_7,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ52_10,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ52_16,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ52_19,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ52_20,0,0,1.925290862,0,0,0,0,0,0,0,0,0
CA_LA_JC_PJ52_3,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ52_4,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
CA_LA_JC_PJ52_6,0,0,1.830440393,0,0,0,0,0,1.914082507,0,0,0
