,CA_ED_JHxJR_PJ55_10,CA_ED_JHxJR_PJ55_11,CA_ED_JHxJR_PJ55_3,CA_ED_JHxJR_PJ55_7,CA_ED_JHxJR_PJ55_8,CA_ED_JHxJR_PJ55_9,CA_ED_JHxJR_PJ56_1,CA_ED_JHxJR_PJ56_12,CA_ED_JHxJR_PJ56_3,CA_ED_JHxJR_PJ56_4,CA_ED_JHxJR_PJ56_7,CA_ED_JHxJR_PJ56_9
CA_ED_JHxJR_PJ55_10,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ55_11,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ55_3,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ55_7,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ55_8,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ55_9,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ56_1,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ56_12,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ56_3,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
CA_ED_JHxJR_PJ56_4,0,0,0,0,0,0,0,0,0,0,0.57187981,0
CA_ED_JHxJR_PJ56_7,0,0,0,0,0,0,0,0,0,0.57187981,0,0
CA_ED_JHxJR_PJ56_9,0,0,0,0,0,0,0,0,0,1.717717711,1.492453241,0
