,AZ_Co_JMa_PJ83_11,AZ_Co_JMa_PJ83_2,AZ_Co_JMa_PJ83_4,AZ_Co_JMa_PJ83_7,AZ_Co_JMa_PJ84_1,AZ_Co_JMa_PJ84_12,AZ_Co_JMa_PJ84_2,AZ_Co_JMa_PJ84_3,AZ_Co_JMa_PJ84_4,AZ_Co_JMa_PJ84_6,AZ_Co_JMa_PJ84_7,AZ_Co_JMa_PJ84_9
AZ_Co_JMa_PJ83_11,0,0.712757537,0.654028498,1.177914804,0.635796496,0,1.832581464,1.162282,1.385554169,0.756117792,1.021651248,1.629048269
AZ_Co_JMa_PJ83_2,0.712757537,0,1.010111091,1.772889305,1.178654996,0,1.446726712,1.405035908,1.331056553,1.426315715,1.223583161,1.871802177
AZ_Co_JMa_PJ83_4,0.654028498,1.010111091,0,1.252124806,0.394925452,0,1.501326358,1.000103224,1.385656199,0.707725473,1.041794029,2.619549003
AZ_Co_JMa_PJ83_7,1.177914804,1.772889305,1.252124806,0,0.751238058,0,1.242453325,1.269755392,1.504077397,0.839050075,1.552608253,1.025674903
AZ_Co_JMa_PJ84_1,0.635796496,1.178654996,0.394925452,0.751238058,0,0,1.734408785,0.798900104,1.136900539,0.866699927,1.223583161,1.871802177
AZ_Co_JMa_PJ84_12,1.780781554,1.774476802,1.704601469,2.06521715,1.748053851,0,1.923567472,1.880875923,1.860734042,1.81602234,1.864072934,2.321104354
AZ_Co_JMa_PJ84_2,1.832581464,1.446726712,1.501326358,1.242453325,1.734408785,0,0,0.979960443,1.753278949,1.183561807,1.609437912,1.629048269
AZ_Co_JMa_PJ84_3,1.162282,1.405035908,1.000103224,1.269755392,0.798900104,0,0.979960443,0,1.343863364,0.959549446,0.734837985,2.365597942
AZ_Co_JMa_PJ84_4,1.385554169,1.331056553,1.385656199,1.504077397,1.136900539,0,1.753278949,1.343863364,0,0.752038698,1.552608253,1.405164525
AZ_Co_JMa_PJ84_6,0.756117792,1.426315715,0.707725473,0.839050075,0.866699927,0,1.183561807,0.959549446,0.752038698,0,1.00124025,1.078009021
AZ_Co_JMa_PJ84_7,1.021651248,1.223583161,1.041794029,1.552608253,1.223583161,0,1.609437912,0.734837985,1.552608253,1.00124025,0,3.238486181
AZ_Co_JMa_PJ84_9,1.629048269,1.871802177,2.619549003,1.025674903,1.871802177,0,1.629048269,1.905859347,1.405164525,1.078009021,3.238486181,0
