,NM_Li_JMa_PJ85_1,NM_Li_JMa_PJ85_11,NM_Li_JMa_PJ85_12,NM_Li_JMa_PJ86_1,NM_Li_JMa_PJ86_10,NM_Li_JMa_PJ86_12,NM_Li_JMa_PJ86_2,NM_Li_JMa_PJ86_4,NM_Li_JMa_PJ86_5,NM_Li_JMa_PJ86_6,NM_Li_JMa_PJ86_7,NM_Li_JMa_PJ86_9
NM_Li_JMa_PJ85_1,0,0.591364486,0.459378412,0.279807894,1.828127113,0.730201167,0.42364893,0.567489966,0.459378412,0.432949643,0.934309237,0
NM_Li_JMa_PJ85_11,0.591364486,0,0.459378412,0.534700144,3.33220451,0.491790143,0.711331003,0.534700144,0.487549289,0.46193718,0.693147181,0
NM_Li_JMa_PJ85_12,0.459378412,0.459378412,0,0.40271407,2.251137881,0.47948284,0.28704391,0.430884946,0.659245629,0.638547535,0.459378412,0
NM_Li_JMa_PJ86_1,0.279807894,0.534700144,0.40271407,0,2.359249436,0.405272837,0.212833908,0.356674944,0.40271407,0.564337532,0.790633518,0
NM_Li_JMa_PJ86_10,1.828127113,3.33220451,2.251137881,2.359249436,0,2.042387556,2.620873508,2.359249436,2.433459438,1.685712612,1.722766598,0
NM_Li_JMa_PJ86_12,0.730201167,0.491790143,0.47948284,0.405272837,2.042387556,0,0.751238058,0.405272837,0.673638854,0.340325806,0.377379792,0
NM_Li_JMa_PJ86_2,0.42364893,0.711331003,0.28704391,0.212833908,2.620873508,0.751238058,0,0.484767623,0.44119459,0.751238058,0.639872039,0
NM_Li_JMa_PJ86_4,0.567489966,0.534700144,0.430884946,0.356674944,2.359249436,0.405272837,0.484767623,0,0.459872483,0.497646158,0.71059081,0
NM_Li_JMa_PJ86_5,0.459378412,0.487549289,0.659245629,0.40271407,2.433459438,0.673638854,0.44119459,0.459872483,0,0.450495303,1.047165077,0
NM_Li_JMa_PJ86_6,0.432949643,0.46193718,0.638547535,0.564337532,1.685712612,0.340325806,0.751238058,0.497646158,0.450495303,0,0.324736059,0
NM_Li_JMa_PJ86_7,0.934309237,0.693147181,0.459378412,0.790633518,1.722766598,0.377379792,0.639872039,0.71059081,1.047165077,0.324736059,0,0
NM_Li_JMa_PJ86_9,2.158175723,2.094475494,1.960610844,2.004301178,2.217000446,1.980055639,1.959922064,2.024374041,2.117575247,2.066971261,1.993024802,0
