,AZ_Pi_JMa_PJ91_1,AZ_Pi_JMa_PJ91_11,AZ_Pi_JMa_PJ91_2,AZ_Pi_JMa_PJ91_5,AZ_Pi_JMa_PJ91_7,AZ_Pi_JMa_PJ91_8,AZ_Pi_JMa_PJ91_9,AZ_Pi_JMa_PJ92_11,AZ_Pi_JMa_PJ92_3,AZ_Pi_JMa_PJ92_7,AZ_Pi_JMa_PJ92_8,AZ_Pi_JMa_PJ92_9
AZ_Pi_JMa_PJ91_1,0,1.644832079,1.903044903,1.751486458,2.144130195,1.663329366,1.675592114,1.637505666,1.608666315,0,1.61419442,1.672971433
AZ_Pi_JMa_PJ91_11,0,0,1.629048269,2.139873893,2.564209165,1.078809661,1.514127733,0.712757537,0.693147181,0,1.00124025,0.967584026
AZ_Pi_JMa_PJ91_2,0,1.629048269,0,2.564949357,2.633395761,1.85219182,0.840590909,0.693147181,0.987194383,0,1.831780823,1.292576032
AZ_Pi_JMa_PJ91_5,0,2.139873893,2.564949357,0,1.485207233,1.446726712,1.041261604,1.871802177,1.85219182,0,0.579017855,2.545339001
AZ_Pi_JMa_PJ91_7,0,2.564209165,1.925769523,1.485207233,0,2.564209165,1.552608253,1.70320419,2.004593377,0,2.320654616,1.552608253
AZ_Pi_JMa_PJ91_8,0,1.078809661,1.85219182,1.446726712,2.564209165,0,1.203972804,0.987194383,1.272965676,0,0.895879735,1.139434283
AZ_Pi_JMa_PJ91_9,0,1.514127733,0.840590909,1.041261604,1.552608253,1.203972804,0,1.041261604,2.120263536,0,1.406705358,0.733969175
AZ_Pi_JMa_PJ92_11,0,0.712757537,0.693147181,1.871802177,2.957295368,0.987194383,1.041261604,0,0.712757537,0,1.020850607,1.223583161
AZ_Pi_JMa_PJ92_3,0,0.693147181,0.987194383,1.85219182,2.004593377,1.272965676,2.120263536,0.712757537,0,0,0.895879735,0.916290732
AZ_Pi_JMa_PJ92_7,0,1.644832079,1.903044903,1.751486458,2.144130195,1.663329366,1.675592114,1.637505666,1.608666315,0,1.61419442,1.672971433
AZ_Pi_JMa_PJ92_8,0,1.00124025,1.831780823,0.579017855,2.320654616,0.895879735,1.406705358,1.020850607,0.895879735,0,0,1.326662651
AZ_Pi_JMa_PJ92_9,0,0.967584026,1.292576032,2.545339001,1.552608253,1.139434283,0.733969175,1.223583161,0.916290732,0,1.326662651,0
