,CA_Or_JC_PJ93_1,CA_Or_JC_PJ93_12,CA_Or_JC_PJ93_3,CA_Or_JC_PJ93_4,CA_Or_JC_PJ93_5,CA_Or_JC_PJ93_7,CA_Or_JC_PJ94_10,CA_Or_JC_PJ94_11,CA_Or_JC_PJ94_12,CA_Or_JC_PJ94_2,CA_Or_JC_PJ94_4,CA_Or_JC_PJ94_5
CA_Or_JC_PJ93_1,0,1.850650987,0.251314428,0.366984588,0.817770268,0,1.178536639,1.025674903,1.039720771,0.772449696,0.954771252,0.752038698
CA_Or_JC_PJ93_12,1.850650987,0,1.532197256,1.326662651,1.077332481,0,0.783172885,1.346273007,0.875468737,1.589026915,1.252554679,1.791759469
CA_Or_JC_PJ93_3,0.251314428,1.532197256,0,0.583207696,0.730758891,0,0.996215082,0.879071429,0.671995991,0.484767623,1.060131768,0.794598313
CA_Or_JC_PJ93_4,0.366984588,1.326662651,0.583207696,0,0.734837985,0,0.957734562,0.599428852,0.84708957,0.867500568,0.776528789,1.058398664
CA_Or_JC_PJ93_5,0.817770268,1.077332481,0.730758891,0.734837985,0,0,0.405218134,0.754448342,1.01670786,0.612235663,1.162282,1.365014554
CA_Or_JC_PJ93_7,1.587812461,1.858825562,1.628301886,1.613096011,1.674296079,0,1.678576154,1.77389138,1.83377476,1.78728485,1.530995303,1.742121204
CA_Or_JC_PJ94_10,1.178536639,0.783172885,0.996215082,0.957734562,0.405218134,0,0,0.823194239,1.188637993,0.590009782,0.957734562,1.342788673
CA_Or_JC_PJ94_11,1.025674903,1.346273007,0.879071429,0.599428852,0.754448342,0,0.823194239,0,0.47723516,0.935901088,1.041261604,1.608637272
CA_Or_JC_PJ94_12,1.039720771,0.875468737,0.671995991,0.84708957,1.01670786,0,1.188637993,0.47723516,0,0.84708957,0.84708957,1.473305738
CA_Or_JC_PJ94_2,0.772449696,1.589026915,0.484767623,0.867500568,0.612235663,0,0.590009782,0.935901088,0.84708957,0,0.967584026,1.252554679
CA_Or_JC_PJ94_4,0.954771252,1.252554679,1.060131768,0.776528789,1.162282,0,0.957734562,1.041261604,0.84708957,0.967584026,0,1.406705358
CA_Or_JC_PJ94_5,0.752038698,1.791759469,0.794598313,1.058398664,1.365014554,0,1.342788673,1.608637272,1.473305738,1.252554679,1.406705358,0
