,CA_Co_JR_PJ97_1,CA_Co_JR_PJ97_10,CA_Co_JR_PJ97_11,CA_Co_JR_PJ97_12,CA_Co_JR_PJ97_2,CA_Co_JR_PJ97_3,CA_Co_JR_PJ97_4,CA_Co_JR_PJ97_6,CA_Co_JR_PJ97_8,CA_Co_JR_PJ97_9,CA_Co_JR_PJ98_2,CA_Co_JR_PJ98_4
CA_Co_JR_PJ97_1,0,1.098420018,0.776528789,0.895879735,0.800569555,1.472436928,1.734408785,2.302585093,1.832581464,1.223583161,1.014892976,1.326662651
CA_Co_JR_PJ97_10,1.098420018,0,0.435125801,0.273636205,0.866699927,0.711888727,1.312186389,3.238486181,1.629048269,1.466337069,0.823194239,1.020850607
CA_Co_JR_PJ97_11,0.776528789,0.435125801,0,0.395104447,0.895879735,0.734837985,1.629048269,3.912023005,2.813410717,2.139873893,1.450211047,1.812170466
CA_Co_JR_PJ97_12,0.895879735,0.273636205,0.395104447,0,1.098612289,0.75887875,1.426315715,2.323042711,2.282174096,1.831780823,1.0551066,0.980829253
CA_Co_JR_PJ97_2,0.800569555,0.866699927,0.895879735,1.098612289,0,0.959549446,1.346273007,1.694387431,1.406705358,1.346273007,0.937323565,1.037987667
CA_Co_JR_PJ97_3,1.472436928,0.711888727,0.734837985,0.75887875,0.959549446,0,1.492047285,2.078572732,1.385425551,1.117353835,0.861976536,0.85418893
CA_Co_JR_PJ97_4,1.734408785,1.312186389,1.629048269,1.426315715,1.346273007,1.492047285,0,3.238486181,1.292576032,1.060871961,1.159666475,1.020850607
CA_Co_JR_PJ97_6,2.302585093,3.238486181,3.912023005,1.851872287,1.694387431,2.078572732,3.238486181,0,2.813410717,1.629048269,1.768664778,1.812170466
CA_Co_JR_PJ97_8,1.832581464,1.629048269,2.813410717,2.282174096,1.406705358,1.385425551,1.292576032,2.813410717,0,0.935901088,1.20904899,0.947173029
CA_Co_JR_PJ97_9,1.223583161,1.466337069,2.139873893,1.831780823,1.346273007,1.117353835,1.060871961,1.629048269,0.935901088,0,1.034503332,0.579017855
CA_Co_JR_PJ98_2,1.014892976,0.823194239,1.450211047,1.0551066,0.937323565,0.861976536,1.159666475,1.768664778,1.20904899,1.034503332,0,0.937323565
CA_Co_JR_PJ98_4,1.326662651,1.020850607,1.812170466,0.980829253,1.037987667,0.85418893,1.020850607,1.812170466,0.947173029,0.579017855,0.937323565,0
