,NM_Soc_JMa_PJ23_16,NM_Soc_JMa_PJ23_21,NM_Soc_JMa_PJ23_23,NM_Soc_JMa_PJ23_3,NM_Soc_JMa_PJ23_8,NM_Soc_JMa_PJ24_13,NM_Soc_JMa_PJ24_16,NM_Soc_JMa_PJ24_18,NM_Soc_JMa_PJ24_19,NM_Soc_JMa_PJ24_5,NM_Soc_JMa_PJ24_7,NM_Soc_JMa_PJ24_8
NM_Soc_JMa_PJ23_16,0,0.969400557,0.88238918,0.516536826,0.577161448,0.623516147,0.604645983,2.638419167,1.722128436,0.71069284,1.926401823,0.450495303
NM_Soc_JMa_PJ23_21,0.969400557,0,0.534082486,0.405311191,1.477947993,0.623516147,0.78696754,3.331566348,1.191500184,2.65660299,1.366786035,1.366786035
NM_Soc_JMa_PJ23_23,0.88238918,0.534082486,0,0.516536826,1.557990701,0.846659698,0.509335803,1.945271987,1.539806879,1.270308628,1.926401823,1.366786035
NM_Soc_JMa_PJ23_3,0.516536826,0.405311191,0.516536826,0,0.767255153,0.788292044,0.730201167,2.409169895,1.442218511,1.134979933,1.791073127,0.76942188
NM_Soc_JMa_PJ23_8,0.577161448,1.477947993,1.557990701,0.767255153,0,1.011435595,1.155084361,1.234579146,1.299117668,0.559615788,1.503391055,0.656093194
NM_Soc_JMa_PJ24_13,0.623516147,0.623516147,0.846659698,0.788292044,1.011435595,0,0.637909372,2.379546134,2.602689685,2.06125772,2.583819521,0.974381609
NM_Soc_JMa_PJ24_16,0.604645983,0.78696754,0.509335803,0.730201167,1.155084361,0.637909372,0,2.178354413,1.66752879,0.897255251,2.159484249,0.860201265
NM_Soc_JMa_PJ24_18,2.638419167,3.331566348,1.945271987,1.867890122,1.234579146,2.379546134,2.178354413,0,0.897941593,1.234579146,0.602818053,1.66752879
NM_Soc_JMa_PJ24_19,1.722128436,1.191500184,1.539806879,1.442218511,1.299117668,2.602689685,1.66752879,0.897941593,0,1.299117668,0.208913767,2.178354413
NM_Soc_JMa_PJ24_5,0.71069284,2.65660299,1.270308628,1.134979933,0.559615788,2.06125772,0.897255251,1.234579146,1.299117668,0,1.590402432,0.621001875
NM_Soc_JMa_PJ24_7,1.926401823,1.366786035,1.926401823,1.791073127,1.503391055,2.583819521,2.159484249,0.602818053,0.208913767,1.590402432,0,3.258096538
NM_Soc_JMa_PJ24_8,0.450495303,1.366786035,1.366786035,0.76942188,0.656093194,0.974381609,0.860201265,1.66752879,2.178354413,0.621001875,3.258096538,0
