,UT_GM2_1,UT_GM2_11,UT_GM2_15a,UT_GM2_16,UT_GM2_18a,UT_GM2_18b,UT_GM2_2,UT_GM2_20,UT_GM2_6,UT_GM2_7,UT_GM2_8,UT_GM2_9a,UT_GM2_9b
UT_GM2_1,0,2.079441542,2.772588722,2.772588722,1.673976434,2.079441542,0.826678573,0.575364145,1.386294361,2.772588722,2.772588722,2.079441542,2.079441542
UT_GM2_11,2.079441542,0,0.693147181,0.470003629,0.287682072,0.980829253,2.079441542,2.079441542,1.386294361,1.16315081,1.386294361,0.064538521,0.287682072
UT_GM2_15a,2.772588722,0.693147181,0,0.826678573,1.16315081,1.386294361,2.772588722,2.772588722,1.673976434,0.374693449,2.079441542,0.826678573,1.16315081
UT_GM2_16,2.772588722,0.470003629,0.826678573,0,0.575364145,0.693147181,1.673976434,1.673976434,0.826678573,0.980829253,0.980829253,0.374693449,0.374693449
UT_GM2_18a,1.673976434,0.287682072,1.16315081,0.575364145,0,0.693147181,2.079441542,2.079441542,0.980829253,0.980829253,0.980829253,0.207639365,0.287682072
UT_GM2_18b,2.079441542,0.980829253,1.386294361,0.693147181,0.693147181,0,1.386294361,1.386294361,0.287682072,0.980829253,2.079441542,0.826678573,1.16315081
UT_GM2_2,0.826678573,2.079441542,2.772588722,1.673976434,2.079441542,1.386294361,0,0.133531393,1.16315081,2.772588722,NA,2.079441542,2.772588722
UT_GM2_20,0.575364145,2.079441542,2.772588722,1.673976434,2.079441542,1.386294361,0.133531393,0,0.980829253,2.772588722,NA,2.079441542,2.772588722
UT_GM2_6,1.386294361,1.386294361,1.673976434,0.826678573,0.980829253,0.287682072,1.16315081,0.980829253,0,1.16315081,2.079441542,1.16315081,1.386294361
UT_GM2_7,2.772588722,1.16315081,0.374693449,0.980829253,0.980829253,0.980829253,2.772588722,2.772588722,1.16315081,0,1.673976434,0.980829253,1.386294361
UT_GM2_8,2.772588722,1.386294361,2.079441542,0.980829253,0.980829253,2.079441542,NA,NA,2.079441542,1.673976434,0,1.16315081,0.826678573
UT_GM2_9a,2.079441542,0.064538521,0.826678573,0.374693449,0.207639365,0.826678573,2.079441542,2.079441542,1.16315081,0.980829253,1.16315081,0,0.207639365
UT_GM2_9b,2.079441542,0.287682072,1.16315081,0.374693449,0.287682072,1.16315081,2.772588722,2.772588722,1.386294361,1.386294361,0.826678573,0.207639365,0
