,CA_GM7_1,CA_GM7_10,CA_GM7_11,CA_GM7_15,CA_GM7_17,CA_GM7_19,CA_GM7_20,CA_GM7_22,CA_GM7_3,CA_GM7_4,CA_GM7_5,CA_GM7_6,CA_GM7_8,CA_GM7_9
CA_GM7_1,0,0.207639365,1.386294361,1.673976434,0.064538521,0.980829253,1.16315081,0.980829253,0.575364145,0.470003629,0.575364145,1.16315081,0.826678573,0.693147181
CA_GM7_10,0.207639365,0,1.16315081,1.386294361,0.133531393,1.16315081,0.980829253,0.826678573,0.575364145,0.374693449,0.470003629,1.16315081,0.826678573,0.826678573
CA_GM7_11,1.386294361,1.16315081,0,0.470003629,1.16315081,NA,NA,2.079441542,2.079441542,1.673976434,1.673976434,2.772588722,2.079441542,2.079441542
CA_GM7_15,1.673976434,1.386294361,0.470003629,0,1.386294361,NA,NA,2.772588722,2.772588722,2.772588722,2.772588722,NA,2.772588722,2.772588722
CA_GM7_17,0.064538521,0.133531393,1.16315081,1.386294361,0,1.16315081,1.16315081,0.826678573,0.693147181,0.575364145,0.693147181,1.16315081,0.826678573,0.826678573
CA_GM7_19,0.980829253,1.16315081,NA,NA,1.16315081,0,0.980829253,1.16315081,0.980829253,1.16315081,1.673976434,1.673976434,2.079441542,0.980829253
CA_GM7_20,1.16315081,0.980829253,NA,NA,1.16315081,0.980829253,0,1.386294361,0.980829253,0.980829253,0.980829253,1.16315081,0.980829253,1.386294361
CA_GM7_22,0.980829253,0.826678573,2.079441542,2.772588722,0.826678573,1.16315081,1.386294361,0,0.826678573,0.980829253,0.826678573,0.207639365,0.470003629,0.826678573
CA_GM7_3,0.575364145,0.575364145,2.079441542,2.772588722,0.693147181,0.980829253,0.980829253,0.826678573,0,0.470003629,0.693147181,0.980829253,0.826678573,0.575364145
CA_GM7_4,0.470003629,0.374693449,1.673976434,2.772588722,0.575364145,1.16315081,0.980829253,0.980829253,0.470003629,0,0.287682072,1.16315081,0.980829253,0.693147181
CA_GM7_5,0.575364145,0.470003629,1.673976434,2.772588722,0.693147181,1.673976434,0.980829253,0.826678573,0.693147181,0.287682072,0,0.693147181,0.575364145,0.575364145
CA_GM7_6,1.16315081,1.16315081,2.772588722,NA,1.16315081,1.673976434,1.16315081,0.207639365,0.980829253,1.16315081,0.693147181,0,0.374693449,0.980829253
CA_GM7_8,0.826678573,0.826678573,2.079441542,2.772588722,0.826678573,2.079441542,0.980829253,0.470003629,0.826678573,0.980829253,0.575364145,0.374693449,0,0.826678573
CA_GM7_9,0.693147181,0.826678573,2.079441542,2.772588722,0.826678573,0.980829253,1.386294361,0.826678573,0.575364145,0.693147181,0.575364145,0.980829253,0.826678573,0
