,CA_GM13_1,CA_GM13_10,CA_GM13_11,CA_GM13_12,CA_GM13_13,CA_GM13_14,CA_GM13_2,CA_GM13_4,CA_GM13_5,CA_GM13_6,CA_GM13_7,CA_GM13_8,CA_GM13_9
CA_GM13_1,0,1.673976434,0.575364145,2.772588722,1.16315081,1.16315081,1.16315081,1.673976434,1.16315081,1.16315081,0.980829253,1.16315081,0.980829253
CA_GM13_10,1.673976434,0,2.079441542,2.079441542,2.772588722,1.386294361,0.826678573,1.673976434,1.386294361,1.386294361,0.575364145,0.980829253,0.980829253
CA_GM13_11,0.575364145,2.079441542,0,2.772588722,0.826678573,1.386294361,1.673976434,2.079441542,1.16315081,1.386294361,1.16315081,2.079441542,1.16315081
CA_GM13_12,2.772588722,2.079441542,2.772588722,0,2.079441542,1.386294361,2.079441542,2.079441542,2.079441542,2.079441542,2.079441542,2.079441542,2.079441542
CA_GM13_13,1.16315081,2.772588722,0.826678573,2.079441542,0,1.673976434,2.772588722,1.673976434,2.079441542,2.079441542,2.772588722,1.386294361,2.772588722
CA_GM13_14,1.16315081,1.386294361,1.386294361,1.386294361,1.673976434,0,1.386294361,2.079441542,1.386294361,1.386294361,1.16315081,1.16315081,1.386294361
CA_GM13_2,1.16315081,0.826678573,1.673976434,2.079441542,2.772588722,1.386294361,0,0.980829253,0.980829253,0.980829253,0.826678573,0.826678573,0.980829253
CA_GM13_4,1.673976434,1.673976434,2.079441542,2.079441542,1.673976434,2.079441542,0.980829253,0,1.673976434,2.079441542,2.079441542,1.386294361,2.079441542
CA_GM13_5,1.16315081,1.386294361,1.16315081,2.079441542,2.079441542,1.386294361,0.980829253,1.673976434,0,0.133531393,1.16315081,1.16315081,0.693147181
CA_GM13_6,1.16315081,1.386294361,1.386294361,2.079441542,2.079441542,1.386294361,0.980829253,2.079441542,0.133531393,0,0.980829253,0.980829253,0.826678573
CA_GM13_7,0.980829253,0.575364145,1.16315081,2.079441542,2.772588722,1.16315081,0.826678573,2.079441542,1.16315081,0.980829253,0,0.693147181,0.980829253
CA_GM13_8,1.16315081,0.980829253,2.079441542,2.079441542,1.386294361,1.16315081,0.826678573,1.386294361,1.16315081,0.980829253,0.693147181,0,0.826678573
CA_GM13_9,0.980829253,0.980829253,1.16315081,2.079441542,2.772588722,1.386294361,0.980829253,2.079441542,0.693147181,0.826678573,0.980829253,0.826678573,0
