,CA_GM20_1,CA_GM20_10,CA_GM20_11,CA_GM20_12a,CA_GM20_12b,CA_GM20_13,CA_GM20_14,CA_GM20_15,CA_GM20_3,CA_GM20_4,CA_GM20_5,CA_GM20_6,CA_GM20_7,CA_GM20_8,CA_GM20_9
CA_GM20_1,0,1.673976434,1.386294361,1.16315081,1.673976434,1.16315081,1.386294361,2.079441542,1.16315081,1.673976434,0.470003629,0.826678573,0.826678573,2.079441542,1.386294361
CA_GM20_10,1.673976434,0,0.980829253,0.693147181,0.980829253,0.826678573,0.575364145,1.16315081,1.386294361,2.772588722,1.673976434,2.772588722,0.693147181,2.772588722,0.693147181
CA_GM20_11,1.386294361,0.980829253,0,0.826678573,0.980829253,0.693147181,0.693147181,0.826678573,1.673976434,2.772588722,1.386294361,1.673976434,1.673976434,1.16315081,0.980829253
CA_GM20_12a,1.16315081,0.693147181,0.826678573,0,0.826678573,1.16315081,0.980829253,1.673976434,1.673976434,2.772588722,1.673976434,2.079441542,0.980829253,2.079441542,0.374693449
CA_GM20_12b,1.673976434,0.980829253,0.980829253,0.826678573,0,0.693147181,0.826678573,0.826678573,1.386294361,2.079441542,1.673976434,2.772588722,1.16315081,2.772588722,0.826678573
CA_GM20_13,1.16315081,0.826678573,0.693147181,1.16315081,0.693147181,0,0.826678573,0.826678573,1.386294361,NA,1.386294361,1.673976434,1.386294361,2.079441542,0.980829253
CA_GM20_14,1.386294361,0.575364145,0.693147181,0.980829253,0.826678573,0.826678573,0,0.980829253,0.980829253,2.079441542,1.386294361,2.079441542,1.16315081,2.079441542,1.16315081
CA_GM20_15,2.079441542,1.16315081,0.826678573,1.673976434,0.826678573,0.826678573,0.980829253,0,2.772588722,2.079441542,2.079441542,2.079441542,1.16315081,1.673976434,1.673976434
CA_GM20_3,1.16315081,1.386294361,1.673976434,1.673976434,1.386294361,1.386294361,0.980829253,2.772588722,0,2.772588722,1.16315081,1.673976434,1.673976434,NA,1.673976434
CA_GM20_4,1.673976434,2.772588722,2.772588722,2.772588722,2.079441542,NA,2.079441542,2.079441542,2.772588722,0,1.673976434,1.386294361,1.386294361,1.673976434,NA
CA_GM20_5,0.470003629,1.673976434,1.386294361,1.673976434,1.673976434,1.386294361,1.386294361,2.079441542,1.16315081,1.673976434,0,1.16315081,0.826678573,2.079441542,1.386294361
CA_GM20_6,0.826678573,2.772588722,1.673976434,2.079441542,2.772588722,1.673976434,2.079441542,2.079441542,1.673976434,1.386294361,1.16315081,0,1.673976434,2.772588722,2.079441542
CA_GM20_7,0.826678573,0.693147181,1.673976434,0.980829253,1.16315081,1.386294361,1.16315081,1.16315081,1.673976434,1.386294361,0.826678573,1.673976434,0,2.079441542,0.980829253
CA_GM20_8,2.079441542,2.772588722,1.16315081,2.079441542,2.772588722,2.079441542,2.079441542,1.673976434,NA,1.673976434,2.079441542,2.772588722,2.079441542,0,2.772588722
CA_GM20_9,1.386294361,0.693147181,0.980829253,0.374693449,0.826678573,0.980829253,1.16315081,1.673976434,1.673976434,NA,1.386294361,2.079441542,0.980829253,2.772588722,0
