,CA_GM21_10,CA_GM21_11,CA_GM21_12,CA_GM21_14,CA_GM21_15,CA_GM21_16,CA_GM21_17a,CA_GM21_17b,CA_GM21_17c,CA_GM21_4,CA_GM21_5a,CA_GM21_5b,CA_GM21_6,CA_GM21_7a,CA_GM21_7b,CA_GM21_8,CA_GM21_9
CA_GM21_10,0,2.772588722,1.673976434,1.16315081,1.16315081,0.980829253,0.826678573,0.980829253,0.980829253,1.16315081,2.079441542,1.386294361,0.980829253,1.386294361,2.079441542,1.16315081,0.575364145
CA_GM21_11,2.772588722,0,0.980829253,2.772588722,2.079441542,2.772588722,2.772588722,2.772588722,2.772588722,2.079441542,NA,NA,2.772588722,2.079441542,2.079441542,1.673976434,NA
CA_GM21_12,1.673976434,0.980829253,0,2.772588722,2.079441542,2.079441542,1.673976434,2.079441542,2.772588722,2.772588722,2.772588722,2.772588722,2.079441542,2.079441542,2.079441542,0.980829253,2.772588722
CA_GM21_14,1.16315081,2.772588722,2.772588722,0,0.980829253,0.693147181,0.826678573,0.693147181,0.575364145,0.980829253,1.16315081,1.16315081,0.470003629,0.575364145,0.575364145,1.673976434,1.16315081
CA_GM21_15,1.16315081,2.079441542,2.079441542,0.980829253,0,0.980829253,1.386294361,1.386294361,1.16315081,0.575364145,0.980829253,1.16315081,0.575364145,1.386294361,1.386294361,0.826678573,0.980829253
CA_GM21_16,0.980829253,2.772588722,2.079441542,0.693147181,0.980829253,0,0.575364145,0.470003629,0.575364145,0.575364145,0.980829253,1.16315081,0.470003629,0.980829253,0.826678573,0.980829253,0.470003629
CA_GM21_17a,0.826678573,2.772588722,1.673976434,0.826678573,1.386294361,0.575364145,0,0.064538521,0.374693449,0.826678573,1.16315081,0.980829253,0.826678573,0.980829253,1.16315081,0.826678573,0.826678573
CA_GM21_17b,0.980829253,2.772588722,2.079441542,0.693147181,1.386294361,0.470003629,0.064538521,0,0.287682072,0.826678573,1.16315081,0.980829253,0.826678573,0.826678573,0.980829253,0.980829253,0.693147181
CA_GM21_17c,0.980829253,2.772588722,2.772588722,0.575364145,1.16315081,0.575364145,0.374693449,0.287682072,0,0.980829253,0.980829253,0.980829253,0.693147181,1.16315081,0.980829253,1.386294361,0.826678573
CA_GM21_4,1.16315081,2.079441542,2.772588722,0.980829253,0.575364145,0.575364145,0.826678573,0.826678573,0.980829253,0,1.16315081,0.980829253,0.575364145,0.980829253,1.16315081,0.693147181,0.693147181
CA_GM21_5a,2.079441542,NA,2.772588722,1.16315081,0.980829253,0.980829253,1.16315081,1.16315081,0.980829253,1.16315081,0,0.133531393,0.980829253,1.16315081,0.826678573,0.826678573,1.386294361
CA_GM21_5b,1.386294361,NA,2.772588722,1.16315081,1.16315081,1.16315081,0.980829253,0.980829253,0.980829253,0.980829253,0.133531393,0,0.980829253,0.980829253,1.16315081,0.693147181,0.980829253
CA_GM21_6,0.980829253,2.772588722,2.079441542,0.470003629,0.575364145,0.470003629,0.826678573,0.826678573,0.693147181,0.575364145,0.980829253,0.980829253,0,0.693147181,0.693147181,1.16315081,0.826678573
CA_GM21_7a,1.386294361,2.079441542,2.079441542,0.575364145,1.386294361,0.980829253,0.980829253,0.826678573,1.16315081,0.980829253,1.16315081,0.980829253,0.693147181,0,0.207639365,0.980829253,1.386294361
CA_GM21_7b,2.079441542,2.079441542,2.079441542,0.575364145,1.386294361,0.826678573,1.16315081,0.980829253,0.980829253,1.16315081,0.826678573,1.16315081,0.693147181,0.207639365,0,1.16315081,1.673976434
CA_GM21_8,1.16315081,1.673976434,0.980829253,1.673976434,0.826678573,0.980829253,0.826678573,0.980829253,1.386294361,0.693147181,0.826678573,0.693147181,1.16315081,0.980829253,1.16315081,0,0.980829253
CA_GM21_9,0.575364145,NA,2.772588722,1.16315081,0.980829253,0.470003629,0.826678573,0.693147181,0.826678573,0.693147181,1.386294361,0.980829253,0.826678573,1.386294361,1.673976434,0.980829253,0
