,CA_GM22_10c,CA_GM22_11,CA_GM22_12,CA_GM22_13,CA_GM22_14,CA_GM22_1a,CA_GM22_1b,CA_GM22_1c,CA_GM22_3,CA_GM22_4,CA_GM22_5,CA_GM22_6,CA_GM22_7,CA_GM22_8a,CA_GM22_8b,CA_GM22_8c,CA_GM22_8d,CA_GM22_8e,CA_GM22_9
CA_GM22_10c,0,0.826678573,0.980829253,0.693147181,1.16315081,0.980829253,0.693147181,0.980829253,0.980829253,0.575364145,0.826678573,1.16315081,0.826678573,0.693147181,0.693147181,0.693147181,0.980829253,1.16315081,2.772588722
CA_GM22_11,0.826678573,0,1.16315081,0.133531393,0.693147181,0.133531393,0.064538521,0.287682072,0.207639365,0.207639365,0.980829253,0.980829253,0.064538521,0.287682072,0.287682072,0.287682072,0.374693449,0.287682072,2.772588722
CA_GM22_12,0.980829253,1.16315081,0,1.16315081,0.980829253,1.386294361,0.980829253,1.16315081,0.980829253,1.16315081,1.16315081,1.16315081,1.16315081,1.16315081,1.16315081,1.16315081,0.980829253,1.16315081,2.079441542
CA_GM22_13,0.693147181,0.133531393,1.16315081,0,0.980829253,0.287682072,0.064538521,0.374693449,0.374693449,0.064538521,0.980829253,0.826678573,0.207639365,0.287682072,0.287682072,0.287682072,0.374693449,0.470003629,2.772588722
CA_GM22_14,1.16315081,0.693147181,0.980829253,0.980829253,0,0.826678573,0.826678573,0.575364145,0.374693449,1.16315081,1.16315081,1.386294361,0.575364145,0.980829253,1.16315081,1.16315081,0.693147181,0.575364145,1.673976434
CA_GM22_1a,0.980829253,0.133531393,1.386294361,0.287682072,0.826678573,0,0.207639365,0.470003629,0.374693449,0.374693449,0.826678573,0.826678573,0.207639365,0.287682072,0.133531393,0.133531393,0.374693449,0.470003629,2.772588722
CA_GM22_1b,0.693147181,0.064538521,0.980829253,0.064538521,0.826678573,0.207639365,0,0.374693449,0.287682072,0.133531393,0.980829253,0.826678573,0.133531393,0.207639365,0.207639365,0.207639365,0.287682072,0.374693449,2.772588722
CA_GM22_1c,0.980829253,0.287682072,1.16315081,0.374693449,0.575364145,0.470003629,0.374693449,0,0.207639365,0.470003629,0.980829253,1.16315081,0.207639365,0.470003629,0.693147181,0.693147181,0.207639365,0.133531393,2.772588722
CA_GM22_3,0.980829253,0.207639365,0.980829253,0.374693449,0.374693449,0.374693449,0.287682072,0.207639365,0,0.470003629,0.980829253,1.673976434,0.133531393,0.374693449,0.575364145,0.575364145,0.287682072,0.207639365,2.772588722
CA_GM22_4,0.575364145,0.207639365,1.16315081,0.064538521,1.16315081,0.374693449,0.133531393,0.470003629,0.470003629,0,0.826678573,0.693147181,0.287682072,0.207639365,0.207639365,0.207639365,0.470003629,0.575364145,2.772588722
CA_GM22_5,0.826678573,0.980829253,1.16315081,0.980829253,1.16315081,0.826678573,0.980829253,0.980829253,0.980829253,0.826678573,0,0.826678573,0.980829253,0.693147181,0.693147181,0.693147181,0.980829253,1.386294361,2.079441542
CA_GM22_6,1.16315081,0.980829253,1.16315081,0.826678573,1.386294361,0.826678573,0.826678573,1.16315081,1.673976434,0.693147181,0.826678573,0,1.16315081,0.693147181,0.575364145,0.575364145,0.980829253,1.673976434,2.079441542
CA_GM22_7,0.826678573,0.064538521,1.16315081,0.207639365,0.575364145,0.207639365,0.133531393,0.207639365,0.133531393,0.287682072,0.980829253,1.16315081,0,0.207639365,0.374693449,0.374693449,0.287682072,0.207639365,2.772588722
CA_GM22_8a,0.693147181,0.287682072,1.16315081,0.287682072,0.980829253,0.287682072,0.207639365,0.470003629,0.374693449,0.207639365,0.693147181,0.693147181,0.207639365,0,0.133531393,0.133531393,0.207639365,0.470003629,2.772588722
CA_GM22_8b,0.693147181,0.287682072,1.16315081,0.287682072,1.16315081,0.133531393,0.207639365,0.693147181,0.575364145,0.207639365,0.693147181,0.575364145,0.374693449,0.133531393,0,0,0.374693449,0.693147181,2.772588722
CA_GM22_8c,0.693147181,0.287682072,1.16315081,0.287682072,1.16315081,0.133531393,0.207639365,0.693147181,0.575364145,0.207639365,0.693147181,0.575364145,0.374693449,0.133531393,0,0,0.374693449,0.693147181,2.772588722
CA_GM22_8d,0.980829253,0.374693449,0.980829253,0.374693449,0.693147181,0.374693449,0.287682072,0.207639365,0.287682072,0.470003629,0.980829253,0.980829253,0.287682072,0.207639365,0.374693449,0.374693449,0,0.207639365,2.772588722
CA_GM22_8e,1.16315081,0.287682072,1.16315081,0.470003629,0.575364145,0.470003629,0.374693449,0.133531393,0.207639365,0.575364145,1.386294361,1.673976434,0.207639365,0.470003629,0.693147181,0.693147181,0.207639365,0,2.772588722
CA_GM22_9,2.772588722,2.772588722,2.079441542,2.772588722,1.673976434,2.772588722,2.772588722,2.772588722,2.772588722,2.772588722,2.079441542,2.079441542,2.772588722,2.772588722,2.772588722,2.772588722,2.772588722,2.772588722,0
