,CA_GM26_10,CA_GM26_11,CA_GM26_12,CA_GM26_2,CA_GM26_3,CA_GM26_4,CA_GM26_5,CA_GM26_6,CA_GM26_7,CA_GM26_8
CA_GM26_10,0,1.16315081,1.673976434,1.673976434,2.079441542,1.673976434,1.673976434,1.673976434,2.079441542,2.079441542
CA_GM26_11,1.16315081,0,2.079441542,2.772588722,2.772588722,2.772588722,2.772588722,2.772588722,2.772588722,2.772588722
CA_GM26_12,1.673976434,2.079441542,0,1.386294361,1.386294361,1.673976434,0.980829253,1.386294361,1.16315081,0.980829253
CA_GM26_2,1.673976434,2.772588722,1.386294361,0,0.374693449,0.575364145,0.826678573,0.064538521,0.470003629,0.575364145
CA_GM26_3,2.079441542,2.772588722,1.386294361,0.374693449,0,0.693147181,0.693147181,0.374693449,0.133531393,0.133531393
CA_GM26_4,1.673976434,2.772588722,1.673976434,0.575364145,0.693147181,0,1.16315081,0.693147181,0.826678573,0.826678573
CA_GM26_5,1.673976434,2.772588722,0.980829253,0.826678573,0.693147181,1.16315081,0,0.826678573,0.575364145,0.693147181
CA_GM26_6,1.673976434,2.772588722,1.386294361,0.064538521,0.374693449,0.693147181,0.826678573,0,0.470003629,0.575364145
CA_GM26_7,2.079441542,2.772588722,1.16315081,0.470003629,0.133531393,0.826678573,0.575364145,0.470003629,0,0.133531393
CA_GM26_8,2.079441542,2.772588722,0.980829253,0.575364145,0.133531393,0.826678573,0.693147181,0.575364145,0.133531393,0
