,CA_GM29_10a,CA_GM29_10b,CA_GM29_11,CA_GM29_12,CA_GM29_13,CA_GM29_14,CA_GM29_15,CA_GM29_16b,CA_GM29_16c,CA_GM29_17a,CA_GM29_17b,CA_GM29_18a,CA_GM29_18b,CA_GM29_18c,CA_GM29_18d,CA_GM29_1a,CA_GM29_1b,CA_GM29_2a,CA_GM29_3,CA_GM29_4,CA_GM29_5,CA_GM29_6,CA_GM29_7,CA_GM29_8,CA_GM29_9
CA_GM29_10a,0,2.772588722,2.079441542,1.386294361,2.079441542,2.079441542,2.079441542,2.079441542,2.079441542,2.079441542,0.980829253,0.287682072,2.079441542,2.079441542,2.772588722,2.772588722,2.772588722,2.079441542,2.772588722,2.079441542,1.673976434,2.079441542,2.772588722,1.673976434,2.079441542
CA_GM29_10b,2.772588722,0,1.16315081,1.386294361,2.079441542,2.079441542,1.16315081,1.673976434,1.386294361,0.980829253,1.673976434,2.772588722,0.207639365,0.980829253,0.826678573,1.386294361,1.386294361,1.673976434,1.386294361,1.16315081,2.079441542,1.673976434,0.693147181,0.826678573,0.980829253
CA_GM29_11,2.079441542,1.16315081,0,0.826678573,1.16315081,0.826678573,1.16315081,0.287682072,0.287682072,0.980829253,2.772588722,NA,0.980829253,0.980829253,0.980829253,0.470003629,0.693147181,0.207639365,0.693147181,1.16315081,0.980829253,0.287682072,0.980829253,1.16315081,2.079441542
CA_GM29_12,1.386294361,1.386294361,0.826678573,0,1.16315081,0.826678573,0.693147181,0.826678573,0.980829253,1.386294361,2.079441542,2.079441542,0.980829253,0.826678573,1.16315081,0.826678573,0.980829253,0.980829253,0.826678573,0.826678573,1.16315081,0.826678573,1.386294361,1.386294361,2.079441542
CA_GM29_13,2.079441542,2.079441542,1.16315081,1.16315081,0,0.980829253,0.826678573,0.693147181,0.980829253,1.386294361,2.079441542,2.772588722,2.079441542,0.980829253,0.980829253,0.826678573,0.575364145,0.826678573,0.575364145,1.16315081,0.133531393,0.693147181,1.16315081,2.079441542,2.772588722
CA_GM29_14,2.079441542,2.079441542,0.826678573,0.826678573,0.980829253,0,0.470003629,0.470003629,0.575364145,1.16315081,2.079441542,NA,1.386294361,0.693147181,0.693147181,0.575364145,0.693147181,0.575364145,0.575364145,0.575364145,0.980829253,0.470003629,0.980829253,1.16315081,2.079441542
CA_GM29_15,2.079441542,1.16315081,1.16315081,0.693147181,0.826678573,0.470003629,0,0.693147181,0.826678573,1.386294361,2.772588722,2.772588722,0.980829253,0.575364145,0.826678573,0.826678573,0.693147181,0.826678573,0.575364145,0.287682072,0.826678573,0.693147181,0.980829253,1.386294361,2.079441542
CA_GM29_16b,2.079441542,1.673976434,0.287682072,0.826678573,0.693147181,0.470003629,0.693147181,0,0.133531393,0.826678573,2.772588722,NA,1.386294361,0.693147181,0.693147181,0.575364145,0.575364145,0.064538521,0.575364145,0.693147181,0.575364145,0,0.980829253,1.386294361,2.079441542
CA_GM29_16c,2.079441542,1.386294361,0.287682072,0.980829253,0.980829253,0.575364145,0.826678573,0.133531393,0,1.16315081,2.079441542,NA,1.386294361,0.693147181,0.575364145,0.575364145,0.826678573,0.064538521,0.826678573,0.826678573,0.826678573,0.133531393,0.826678573,1.673976434,1.673976434
CA_GM29_17a,2.079441542,0.980829253,0.980829253,1.386294361,1.386294361,1.16315081,1.386294361,0.826678573,1.16315081,0,2.079441542,2.772588722,1.16315081,1.386294361,1.16315081,0.980829253,0.826678573,0.980829253,0.826678573,1.673976434,1.386294361,0.826678573,0.826678573,0.693147181,2.772588722
CA_GM29_17b,0.980829253,1.673976434,2.772588722,2.079441542,2.079441542,2.079441542,2.772588722,2.772588722,2.079441542,2.079441542,0,0.980829253,2.079441542,2.772588722,2.079441542,2.079441542,2.079441542,2.772588722,2.079441542,2.772588722,2.079441542,2.772588722,2.079441542,2.772588722,0.980829253
CA_GM29_18a,0.287682072,2.772588722,NA,2.079441542,2.772588722,NA,2.772588722,NA,NA,2.772588722,0.980829253,0,2.772588722,2.772588722,2.772588722,NA,NA,NA,NA,2.772588722,2.772588722,NA,2.772588722,2.772588722,1.673976434
CA_GM29_18b,2.079441542,0.207639365,0.980829253,0.980829253,2.079441542,1.386294361,0.980829253,1.386294361,1.386294361,1.16315081,2.079441542,2.772588722,0,0.826678573,0.980829253,1.16315081,1.386294361,1.386294361,1.386294361,0.826678573,2.079441542,1.386294361,0.826678573,0.826678573,1.16315081
CA_GM29_18c,2.079441542,0.980829253,0.980829253,0.826678573,0.980829253,0.693147181,0.575364145,0.693147181,0.693147181,1.386294361,2.772588722,2.772588722,0.826678573,0,0.207639365,0.980829253,1.16315081,0.693147181,1.16315081,0.470003629,0.980829253,0.693147181,0.470003629,1.386294361,2.079441542
CA_GM29_18d,2.772588722,0.826678573,0.980829253,1.16315081,0.980829253,0.693147181,0.826678573,0.693147181,0.575364145,1.16315081,2.079441542,2.772588722,0.980829253,0.207639365,0,0.826678573,0.980829253,0.693147181,0.980829253,0.693147181,0.980829253,0.693147181,0.207639365,1.673976434,1.673976434
