,CA_GM30_1,CA_GM30_10,CA_GM30_11,CA_GM30_12,CA_GM30_13a,CA_GM30_13b,CA_GM30_13c,CA_GM30_13d,CA_GM30_14a,CA_GM30_14b,CA_GM30_14c,CA_GM30_2,CA_GM30_3,CA_GM30_4,CA_GM30_5a,CA_GM30_5b,CA_GM30_6,CA_GM30_7a,CA_GM30_7b,CA_GM30_8,CA_GM30_9
CA_GM30_1,0,0.207639365,0.064538521,0.133531393,1.16315081,1.16315081,0.980829253,1.386294361,1.673976434,2.772588722,1.673976434,0.826678573,1.386294361,0.064538521,0.693147181,0.980829253,0.980829253,NA,2.772588722,1.673976434,1.386294361
CA_GM30_10,0.207639365,0,0.133531393,0.207639365,1.16315081,1.16315081,0.980829253,1.386294361,1.673976434,2.772588722,1.673976434,0.826678573,1.386294361,0.133531393,0.826678573,0.980829253,1.16315081,NA,2.772588722,2.079441542,1.386294361
CA_GM30_11,0.064538521,0.133531393,0,0.064538521,0.980829253,0.980829253,0.826678573,1.16315081,1.386294361,2.772588722,1.673976434,0.693147181,1.16315081,0,0.693147181,0.826678573,0.826678573,NA,2.772588722,1.673976434,1.16315081
CA_GM30_12,0.133531393,0.207639365,0.064538521,0,0.980829253,0.980829253,0.826678573,1.16315081,1.386294361,2.772588722,1.673976434,0.693147181,1.16315081,0.064538521,0.693147181,0.826678573,0.693147181,NA,2.772588722,1.673976434,1.16315081
CA_GM30_13a,1.16315081,1.16315081,0.980829253,0.980829253,0,0.826678573,0.133531393,0.287682072,1.386294361,1.386294361,2.079441542,0.374693449,0.575364145,0.980829253,1.16315081,0.207639365,0.980829253,2.079441542,1.386294361,1.386294361,0.693147181
CA_GM30_13b,1.16315081,1.16315081,0.980829253,0.980829253,0.826678573,0,0.826678573,0.980829253,0.980829253,2.772588722,NA,0.693147181,0.826678573,0.980829253,0.826678573,0.826678573,0.826678573,2.079441542,2.772588722,1.16315081,0.575364145
CA_GM30_13c,0.980829253,0.980829253,0.826678573,0.826678573,0.133531393,0.826678573,0,0.287682072,1.16315081,1.673976434,2.772588722,0.374693449,0.575364145,0.826678573,0.980829253,0.064538521,0.826678573,2.079441542,1.673976434,1.386294361,0.575364145
CA_GM30_13d,1.386294361,1.386294361,1.16315081,1.16315081,0.287682072,0.980829253,0.287682072,0,1.16315081,1.673976434,2.079441542,0.693147181,0.693147181,1.16315081,1.386294361,0.207639365,1.16315081,2.772588722,1.673976434,0.826678573,1.16315081
CA_GM30_14a,1.673976434,1.673976434,1.386294361,1.386294361,1.386294361,0.980829253,1.16315081,1.16315081,0,2.772588722,2.079441542,0.980829253,1.386294361,1.386294361,1.673976434,0.980829253,0.980829253,2.079441542,2.079441542,0.980829253,0.575364145
CA_GM30_14b,2.772588722,2.772588722,2.772588722,2.772588722,1.386294361,2.772588722,1.673976434,1.673976434,2.772588722,0,0.575364145,NA,2.079441542,2.772588722,2.772588722,1.673976434,2.079441542,0.980829253,0.374693449,2.079441542,2.079441542
