,CA_GM32_1,CA_GM32_10,CA_GM32_11,CA_GM32_12,CA_GM32_13,CA_GM32_15,CA_GM32_17,CA_GM32_18,CA_GM32_2,CA_GM32_20,CA_GM32_21,CA_GM32_22,CA_GM32_25,CA_GM32_3,CA_GM32_4
CA_GM32_1,0,0.575364145,2.079441542,1.16315081,1.386294361,2.772588722,1.673976434,1.386294361,1.16315081,2.772588722,2.772588722,1.16315081,0.980829253,1.386294361,1.386294361
CA_GM32_10,0.575364145,0,NA,1.673976434,1.673976434,2.772588722,2.079441542,1.673976434,2.772588722,1.673976434,NA,0.980829253,1.16315081,1.673976434,1.386294361
CA_GM32_11,2.079441542,NA,0,2.079441542,2.772588722,2.772588722,NA,2.772588722,2.079441542,1.673976434,0.826678573,2.772588722,2.772588722,2.772588722,2.772588722
CA_GM32_12,1.16315081,1.673976434,2.079441542,0,0.575364145,2.079441542,0.826678573,0.826678573,0.826678573,2.079441542,2.079441542,0.826678573,1.386294361,0.980829253,2.079441542
CA_GM32_13,1.386294361,1.673976434,2.772588722,0.575364145,0,1.386294361,1.16315081,0.826678573,1.16315081,1.673976434,2.772588722,1.16315081,0.980829253,1.673976434,1.386294361
CA_GM32_15,2.772588722,2.772588722,2.772588722,2.079441542,1.386294361,0,0.980829253,1.673976434,NA,1.386294361,2.772588722,2.079441542,1.386294361,2.079441542,2.772588722
CA_GM32_17,1.673976434,2.079441542,NA,0.826678573,1.16315081,0.980829253,0,0.980829253,1.386294361,1.386294361,NA,1.16315081,1.673976434,1.673976434,2.079441542
CA_GM32_18,1.386294361,1.673976434,2.772588722,0.826678573,0.826678573,1.673976434,0.980829253,0,1.386294361,1.386294361,2.079441542,1.673976434,1.16315081,1.386294361,2.079441542
CA_GM32_2,1.16315081,2.772588722,2.079441542,0.826678573,1.16315081,NA,1.386294361,1.386294361,0,2.772588722,2.772588722,1.673976434,2.079441542,0.826678573,1.16315081
CA_GM32_20,2.772588722,1.673976434,1.673976434,2.079441542,1.673976434,1.386294361,1.386294361,1.386294361,2.772588722,0,1.673976434,1.673976434,1.386294361,2.772588722,2.079441542
CA_GM32_21,2.772588722,NA,0.826678573,2.079441542,2.772588722,2.772588722,NA,2.079441542,2.772588722,1.673976434,0,2.772588722,2.079441542,2.772588722,NA
CA_GM32_22,1.16315081,0.980829253,2.772588722,0.826678573,1.16315081,2.079441542,1.16315081,1.673976434,1.673976434,1.673976434,2.772588722,0,1.386294361,1.673976434,1.386294361
CA_GM32_25,0.980829253,1.16315081,2.772588722,1.386294361,0.980829253,1.386294361,1.673976434,1.16315081,2.079441542,1.386294361,2.079441542,1.386294361,0,1.673976434,2.772588722
CA_GM32_3,1.386294361,1.673976434,2.772588722,0.980829253,1.673976434,2.079441542,1.673976434,1.386294361,0.826678573,2.772588722,2.772588722,1.673976434,1.673976434,0,1.16315081
CA_GM32_4,1.386294361,1.386294361,2.772588722,2.079441542,1.386294361,2.772588722,2.079441542,2.079441542,1.16315081,2.079441542,NA,1.386294361,2.772588722,1.16315081,0
