,CA_GM34_1,CA_GM34_10,CA_GM34_11,CA_GM34_13,CA_GM34_14,CA_GM34_15,CA_GM34_16,CA_GM34_17,CA_GM34_19a,CA_GM34_19b,CA_GM34_20,CA_GM34_21,CA_GM34_22,CA_GM34_23,CA_GM34_24,CA_GM34_25,CA_GM34_26,CA_GM34_27,CA_GM34_2a,CA_GM34_2b,CA_GM34_3,CA_GM34_32,CA_GM34_4a,CA_GM34_4b,CA_GM34_7,CA_GM34_8a,CA_GM34_8b
CA_GM34_1,0,2.079441542,NA,1.16315081,NA,NA,2.772588722,2.772588722,NA,NA,NA,NA,2.772588722,2.772588722,0.575364145,NA,2.079441542,2.772588722,2.772588722,2.772588722,2.079441542,NA,NA,NA,NA,2.772588722,2.772588722
CA_GM34_10,2.079441542,0,1.386294361,2.772588722,1.673976434,0.826678573,1.16315081,2.079441542,0.287682072,0.374693449,0.980829253,0.470003629,1.386294361,0.826678573,1.673976434,2.079441542,1.16315081,1.16315081,2.772588722,1.16315081,1.16315081,0.826678573,1.386294361,0.980829253,0.693147181,0.207639365,0.826678573
CA_GM34_11,NA,1.386294361,0,2.079441542,0.826678573,1.16315081,1.16315081,0.980829253,1.673976434,1.16315081,0.980829253,0.980829253,1.673976434,0.980829253,2.079441542,0.575364145,0.980829253,1.386294361,0.980829253,1.386294361,0.980829253,0.980829253,1.16315081,1.16315081,1.673976434,1.386294361,1.386294361
CA_GM34_13,1.16315081,2.772588722,2.079441542,0,2.079441542,2.772588722,2.772588722,2.772588722,2.772588722,2.772588722,2.079441542,1.673976434,1.386294361,1.386294361,1.16315081,1.673976434,2.079441542,NA,2.079441542,NA,2.772588722,2.079441542,NA,NA,2.079441542,2.079441542,1.673976434
CA_GM34_14,NA,1.673976434,0.826678573,2.079441542,0,1.16315081,1.386294361,1.16315081,2.079441542,1.386294361,1.16315081,1.16315081,1.386294361,1.16315081,2.079441542,0.575364145,1.16315081,1.673976434,0.980829253,0.980829253,0.980829253,0.980829253,1.16315081,1.386294361,1.673976434,1.386294361,1.386294361
CA_GM34_15,NA,0.826678573,1.16315081,2.772588722,1.16315081,0,1.386294361,0.980829253,0.826678573,0.693147181,1.16315081,0.693147181,2.079441542,1.386294361,1.386294361,1.16315081,0.826678573,0.470003629,2.079441542,0.826678573,0.575364145,0.980829253,0.980829253,0.826678573,0.826678573,0.575364145,0.826678573
CA_GM34_16,2.772588722,1.16315081,1.16315081,2.772588722,1.386294361,1.386294361,0,0.980829253,1.16315081,0.980829253,1.386294361,1.386294361,2.079441542,1.386294361,1.673976434,0.980829253,0.826678573,1.386294361,2.772588722,1.16315081,0.980829253,0.693147181,0.980829253,1.386294361,0.826678573,1.386294361,1.386294361
CA_GM34_17,2.772588722,2.079441542,0.980829253,2.772588722,1.16315081,0.980829253,0.980829253,0,2.772588722,1.673976434,1.673976434,1.386294361,1.673976434,1.673976434,1.673976434,0.980829253,0.826678573,0.980829253,0.980829253,0.575364145,0.693147181,0.980829253,0.980829253,0.826678573,2.079441542,1.386294361,1.673976434
CA_GM34_19a,NA,0.287682072,1.673976434,2.772588722,2.079441542,0.826678573,1.16315081,2.772588722,0,0.207639365,0.826678573,0.575364145,2.079441542,0.826678573,2.079441542,2.079441542,1.386294361,0.980829253,2.772588722,1.673976434,1.673976434,0.826678573,1.386294361,1.16315081,0.374693449,0.374693449,0.980829253
CA_GM34_19b,NA,0.374693449,1.16315081,2.772588722,1.386294361,0.693147181,0.980829253,1.673976434,0.207639365,0,0.693147181,0.575364145,1.673976434,0.575364145,1.386294361,1.16315081,1.386294361,0.826678573,2.079441542,1.673976434,1.386294361,0.470003629,1.16315081,0.980829253,0.287682072,0.374693449,1.386294361
