,CA_GM37_1,CA_GM37_10,CA_GM37_11,CA_GM37_12,CA_GM37_13,CA_GM37_14,CA_GM37_2,CA_GM37_3,CA_GM37_5,CA_GM37_7,CA_GM37_9
CA_GM37_1,0,2.079441542,1.16315081,0.693147181,1.16315081,0.826678573,0.693147181,1.386294361,0.575364145,1.673976434,1.673976434
CA_GM37_10,2.079441542,0,2.079441542,2.079441542,1.386294361,2.772588722,NA,1.16315081,2.772588722,0.980829253,0.826678573
CA_GM37_11,1.16315081,2.079441542,0,0.470003629,1.16315081,1.386294361,2.772588722,2.079441542,0.693147181,1.386294361,2.079441542
CA_GM37_12,0.693147181,2.079441542,0.470003629,0,0.826678573,0.693147181,1.386294361,1.386294361,0.207639365,1.16315081,2.079441542
CA_GM37_13,1.16315081,1.386294361,1.16315081,0.826678573,0,1.16315081,2.079441542,0.980829253,0.980829253,0.575364145,1.386294361
CA_GM37_14,0.826678573,2.772588722,1.386294361,0.693147181,1.16315081,0,1.16315081,0.980829253,0.693147181,1.16315081,2.772588722
CA_GM37_2,0.693147181,NA,2.772588722,1.386294361,2.079441542,1.16315081,0,1.673976434,0.980829253,NA,NA
CA_GM37_3,1.386294361,1.16315081,2.079441542,1.386294361,0.980829253,0.980829253,1.673976434,0,1.386294361,0.287682072,1.16315081
CA_GM37_5,0.575364145,2.772588722,0.693147181,0.207639365,0.980829253,0.693147181,0.980829253,1.386294361,0,1.673976434,2.772588722
CA_GM37_7,1.673976434,0.980829253,1.386294361,1.16315081,0.575364145,1.16315081,NA,0.287682072,1.673976434,0,0.980829253
CA_GM37_9,1.673976434,0.826678573,2.079441542,2.079441542,1.386294361,2.772588722,NA,1.16315081,2.772588722,0.980829253,0
